patric_id						KO					COG	COG_function
fig|31899.10.peg.829|SAMN05216182_0674	521460.Athe_0413	8.90E-159	515.7					bactNOG[38]	"08T6H@bactNOG,0ESC0@cloNOG,0NHYX@firmNOG,11HUP@NOG"	08T6H|1.96100173357e-73|249.811599731	S	NA
fig|31899.10.peg.831	521460.Athe_2013	6.80E-119	388.3	MUCPA_0453		K07493		bactNOG[38]	"05D5G@bactNOG,0ENYU@cloNOG,0NDE0@firmNOG,COG3328@NOG"	0ENYU|1.21164281811e-81|277.267700195	L	Transposase
fig|31899.10.peg.832	632292.Calhy_0847	5.90E-43	133.5			K07493		bactNOG[38]	"081K1@bactNOG,COG3328@NOG"	081K1|1.51804578932e-32|115.998954773	L	Transposase
fig|31899.10.peg.834|SAMN05216182_0676	521460.Athe_0403	1.50E-176	580.2	RV3401	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"K05342,K10231"		bactNOG[38]	"05C71@bactNOG,0EP91@cloNOG,0NE1G@firmNOG,COG1554@NOG"	05C71|1.55682192945e-54|188.160507202	G	"hydrolase family 65, central catalytic"
fig|31899.10.peg.835|SAMN05216182_0677	521460.Athe_0416	2.80E-79	254.5					bactNOG[38]	"05M0I@bactNOG,0EV8R@cloNOG,0NMRU@firmNOG,11UPZ@NOG"	05M0I|1.8155734713e-49|169.147293091	S	NA
fig|31899.10.peg.836|SAMN05216182_0678	479437.Elen_3018	1.30E-66	213.5					bactNOG[38]	"07VDI@bactNOG,COG1659@NOG"	07VDI|1.67914768044e-82|275.616119385	S	linocin_m18 bacteriocin protein
fig|31899.10.peg.837|SAMN05216182_0679	1009370.ALO_16272	2.50E-76	245.2					bactNOG[38]	"07S2D@bactNOG,0P2UN@firmNOG,COG1592@NOG"	07S2D|4.73603782579e-61|209.045028687	C	Rubrerythrin
fig|31899.10.peg.838|SAMN05216182_0680	521460.Athe_0419	2.20E-70	221.7					bactNOG[38]	"06WBQ@bactNOG,0NWTP@firmNOG,0YNPC@NOG"	06WBQ|7.32974038545e-60|203.377441406	S	NA
fig|31899.10.peg.841|SAMN05216182_0683	411154.GFO_1691	7.00E-137	444.7	YGHZ	"GO:0003674,GO:0003824,GO:0006081,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009438,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0033554,GO:0044237,GO:0044699,GO:0044710,GO:0044763,GO:0050896,GO:0051716,GO:0055114,GO:0071704"	K19265	ALR2	bactNOG[38]	"05CPC@bactNOG,09BC3@bctoNOG,0P9AS@flaNOG,COG0667@NOG"	0P9AS|1.49776237181e-159|533.13104248	C	Aldo keto reductase family protein
fig|31899.10.peg.843|SAMN05216182_0684	521460.Athe_0423	1.30E-287	942.1					bactNOG[38]	"0657Q@bactNOG,0EZID@cloNOG,0P1CG@firmNOG,12BA1@NOG"	0657Q|2.52996294291e-157|526.923828125	S	glycosyltransferase
fig|31899.10.peg.844|SAMN05216182_0685	351627.Csac_0447	3.50E-80	254.1			K09888		bactNOG[38]	"08ABI@bactNOG,0F6BR@cloNOG,0P53K@firmNOG,0XU72@NOG"	08ABI|2.47337379971e-72|245.288253784	S	"Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division (By similarity)"
fig|31899.10.peg.845|SAMN05216182_0686	521460.Athe_0425	1.60E-191	626.1					bactNOG[38]	"08XJ7@bactNOG,0ES1R@cloNOG,0NHE1@firmNOG,11FQU@NOG"	08XJ7|6.09193106079e-111|373.428619385	S	metalloenzyme domain protein
fig|31899.10.peg.846|SAMN05216182_0687	521460.Athe_0426	0	1687.8	PROTEASE		K08303		bactNOG[38]	"05CFP@bactNOG,0EPPR@cloNOG,0NE3P@firmNOG,COG0826@NOG"	0EPPR|7.53364695913e-232|775.08203125	O	"peptidase, U32"
fig|31899.10.peg.847|SAMN05216182_0688	521460.Athe_0427	7.10E-231	759.8	YTVI	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"			bactNOG[38]	"08REF@bactNOG,0ESM6@cloNOG,0NIC8@firmNOG,COG0628@NOG"	08REF|1.59240088728e-88|300.226379395	S	Sporulation integral membrane protein ytvi
fig|31899.10.peg.848|SAMN05216182_0689	521460.Athe_0428	0	1321.4				CODH_ACS	bactNOG[38]	"07QT9@bactNOG,0EP5T@cloNOG,0NEDU@firmNOG,COG3894@NOG"	07QT9|4.93983899714e-222|742.364501953	C	Ferredoxin
fig|31899.10.peg.849|SAMN05216182_0690	521460.Athe_0429	2.30E-149	488.8					bactNOG[38]	"08RSN@bactNOG,0EU55@cloNOG,0NN8F@firmNOG,COG0398@NOG"	08RSN|1.09638081736e-55|191.828338623	C	SNARE associated Golgi
fig|31899.10.peg.850|SAMN05216182_0691	521460.Athe_0430	1.40E-169	555.1	CWLD		K01448		bactNOG[38]	"07YT8@bactNOG,0ET7W@cloNOG,0NKP9@firmNOG,COG0860@NOG"	07YT8|5.30192082544e-80|272.721313477	M	n-acetylmuramoyl-l-alanine amidase
fig|31899.10.peg.851|SAMN05216182_0692	521460.Athe_0431	0	1059.7			K01439	SDPDS	bactNOG[38]	"07QSE@bactNOG,0EPEF@cloNOG,0NDIS@firmNOG,COG0624@NOG"	07QSE|7.90582596987e-151|506.101379395	E	Dipeptidase
fig|31899.10.peg.852|SAMN05216182_0693	521460.Athe_0432	3.20E-128	412.2					bactNOG[38]	"08C9G@bactNOG,0F623@cloNOG,0P5A9@firmNOG,COG1971@NOG"	08C9G|3.1063821234e-107|359.914306641	S	Domain of unknown function DUF
fig|31899.10.peg.853|SAMN05216182_0694	521460.Athe_0433	2.20E-117	382.7	ADSA		K03088		bactNOG[38]	"08SJ3@bactNOG,0EV8T@cloNOG,0NMW7@firmNOG,COG1595@NOG"	08SJ3|2.99230592446e-52|180.625076294	K	RNA Polymerase
fig|31899.10.peg.855|SAMN05216182_0696	521460.Athe_0435	3.80E-63	202.7	RSBV		"K04749,K06378"		bactNOG[38]	"05WN5@bactNOG,0F513@cloNOG,0NNKB@firmNOG,COG1366@NOG"	05WN5|5.70077721555e-34|119.163833618	T	stage II sporulation protein
fig|31899.10.peg.856|SAMN05216182_0697	521460.Athe_0436	1.20E-77	247.5			K04757		bactNOG[38]	"068AC@bactNOG,0EXA7@cloNOG,0NRB7@firmNOG,COG2172@NOG"	068AC|5.16208743289e-44|152.087661743	T	anti-sigma regulatory factor serine threonine protein kinase
fig|31899.10.peg.857|SAMN05216182_0698	521460.Athe_0437	5.30E-162	531.3	SIGB		"K03090,K03091"		bactNOG[38]	"05E65@bactNOG,0EPWS@cloNOG,0NE6M@firmNOG,COG1191@NOG"	05E65|6.10367688159e-102|345.264068604	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
fig|31899.10.peg.858|SAMN05216182_0699	521460.Athe_0438	0	2493.1					bactNOG[38]	"05QXS@bactNOG,0EUVG@cloNOG,0NMGF@firmNOG,11ZJU@NOG"	05QXS|0.0|1192.48730469	S	s-layer domain-containing protein
fig|31899.10.peg.859|SAMN05216182_0700	632335.Calkr_2222	1.20E-20	66.1					bactNOG[38]	"05XKW@bactNOG,0EVRH@cloNOG,0NQDX@firmNOG,12221@NOG"	05XKW|5.77090147865e-13|51.8736724854	S	domain protein
fig|31899.10.peg.860|SAMN05216182_0701	521460.Athe_0440	3.30E-80	260.1	QUED		K01737		bactNOG[38]	"05MJ5@bactNOG,0EVJE@cloNOG,0NPDE@firmNOG,COG0720@NOG"	05MJ5|1.21199043701e-43|151.270767212	H	"6-carboxy-5,6,7,8-tetrahydropterin synthase"
fig|31899.10.peg.861|SAMN05216182_0702	521460.Athe_0441	1.30E-173	569.7	FOLE2		"K01495,K09007"	GTPCI	bactNOG[38]	"05DZA@bactNOG,0ESA3@cloNOG,0NEZS@firmNOG,COG1469@NOG"	05DZA|2.69943523338e-101|341.756378174	S	"Converts GTP to 7,8-dihydroneopterin triphosphate (By similarity)"
fig|31899.10.peg.863|SAMN05216182_0704	521460.Athe_0443	3.90E-263	865.8					bactNOG[38]	"05CU1@bactNOG,0ENV6@cloNOG,0NDJ8@firmNOG,COG1228@NOG"	05CU1|6.73532812113e-179|599.851257324	Q	amidohydrolase
fig|31899.10.peg.864|SAMN05216182_0705	521460.Athe_0444	3.70E-101	331.5	YJEE	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"K06925,K07102"		bactNOG[38]	"05K8N@bactNOG,0EUET@cloNOG,0NKMQ@firmNOG,COG0802@NOG"	05K8N|4.66968778811e-49|170.459243774	S	"protein family UPF0079, ATPase"
fig|31899.10.peg.865|SAMN05216182_0706	521460.Athe_0445	7.30E-148	485.4	YEAZ	"GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006508,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009116,GO:0009119,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0019538,GO:0034470,GO:0034641,GO:0034660,GO:0042278,GO:0042802,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046085,GO:0046128,GO:0046483,GO:0055086,GO:0070011,GO:0070525,GO:0070526,GO:0071704,GO:0072521,GO:0090304,GO:1901135,GO:1901360,GO:1901564,GO:1901657"	"K01409,K14742"		bactNOG[38]	"072GX@bactNOG,0ESF1@cloNOG,0NIRT@firmNOG,COG1214@NOG"	072GX|3.45406663042e-60|206.923751831	O	Peptidase M22 Glycoprotease
fig|31899.10.peg.866|SAMN05216182_0707	521460.Athe_0446	1.60E-101	331.5	RIMI		K03789		bactNOG[38]	"05KEG@bactNOG,0ES3F@cloNOG,0NKT3@firmNOG,COG0456@NOG"	05KEG|8.17817126277e-59|202.744537354	S	ribosomal-protein-alanine acetyltransferase
fig|31899.10.peg.867|SAMN05216182_0708	521460.Athe_0447	0	1209.1					bactNOG[38]	"05BZU@bactNOG,0ENQX@cloNOG,0ND7U@firmNOG,0XNMH@NOG"	0ENQX|4.41109554946e-189|634.100585938	T	Diguanylate cyclase
fig|31899.10.peg.868|SAMN05216182_0709	351627.Csac_0689	4.30E-259	851.2	GLGB	"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944"	"K00700,K01200"		bactNOG[38]	"05C9C@bactNOG,0ENS9@cloNOG,0NE1K@firmNOG,COG1523@NOG"	0ENS9|5.1869200997e-247|826.174133301	G	"pullulanase, type i"
fig|31899.10.peg.869|SAMN05216182_0710	521460.Athe_0449	7.30E-257	843.3					bactNOG[38]	"08K4Q@bactNOG,0ETUA@cloNOG,0NGJ4@firmNOG,0ZXMP@NOG"	08K4Q|1.35508657031e-123|415.040802002	S	Protein of unknown function DUF58
fig|31899.10.peg.870|SAMN05216182_0712	521460.Athe_0450	1.10E-165	537.2					bactNOG[38]	"06W64@bactNOG,0Y4SQ@NOG"	06W64|3.32400104795e-149|498.167144775	T	response regulator (Receiver
fig|31899.10.peg.872|SAMN05216182_0714	521460.Athe_0452	0	1030.4			"K00752,K00786,K11936,K19003"		bactNOG[38]	"07QJZ@bactNOG,0ERBN@cloNOG,0NEIT@firmNOG,COG1215@NOG"	07QJZ|2.57803386894e-145|488.902435303	M	"Glycosyl transferase, family 2"
fig|31899.10.peg.873|SAMN05216182_0715	509191.AcelC_020100009593	5.20E-46	146.5			K07216		bactNOG[38]	"08JRG@bactNOG,0F7EV@cloNOG,0P6QD@firmNOG,11KT7@NOG"	08JRG|1.42537150146e-47|165.275054932	S	"hemerythrin-like, metal-binding protein"
fig|31899.10.peg.874|SAMN05216182_0716	521460.Athe_0454	5.20E-298	978.5					bactNOG[38]	"05G17@bactNOG,0EQZV@cloNOG,0NF5F@firmNOG,0XSD4@NOG"	05G17|3.31431206006e-209|697.965515137	S	NA
fig|31899.10.peg.875|SAMN05216182_0717	521460.Athe_0455	0	1018.6	RLMD	"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016436,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051536,GO:0051539,GO:0051540,GO:0070041,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:1901360"	"K00557,K03212,K03215"		bactNOG[38]	"05BZT@bactNOG,0ENV5@cloNOG,0ND5E@firmNOG,COG2265@NOG"	05BZT|1.25763894083e-156|526.091491699	J	Catalyzes the formation of 5-methyl-uridine at position 1939 (m5U1939) in 23S rRNA (By similarity)
fig|31899.10.peg.876|SAMN05216182_0718	469596.HMPREF9488_02002	2.90E-48	151.6					bactNOG[38]	"08C8G@bactNOG,0I85A@eryNOG,0P470@firmNOG,0XUH2@NOG"	08C8G|2.066400843e-46|159.718231201	S	Protein of unknown function (DUF1232)
fig|31899.10.peg.877|SAMN05216182_0719	314283.MED297_20452	2.90E-40	131.1	OGT	"GO:0003674,GO:0003824,GO:0003908,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0009987,GO:0016740,GO:0016741,GO:0032259,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360"	K00567		bactNOG[38]	"05K85@bactNOG,0QU18@gproNOG,17FJB@proNOG,COG0350@NOG"	0QU18|4.27694385075e-53|184.157958984	L	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated (By similarity)
fig|31899.10.peg.878|SAMN05216182_0720	521460.Athe_0458	0	1059.7	BGLA		K05350		bactNOG[38]	"05CS2@bactNOG,0EP5J@cloNOG,0ND8I@firmNOG,COG2723@NOG"	05CS2|1.0155349066e-187|628.917236328	G	ec 3.2.1.21
fig|31899.10.peg.879|SAMN05216182_0721	521460.Athe_0459	0	1865.5			K18675		bactNOG[38]	"05E2V@bactNOG,0ENP2@cloNOG,0ND5S@firmNOG,COG3459@NOG"	05E2V|3.03152835459e-299|999.190124512	G	Glycosyltransferase 36
fig|31899.10.peg.880|SAMN05216182_0722	521460.Athe_0460	0	1933.6	CBPA		K00702	CEPA	bactNOG[38]	"05E2V@bactNOG,0ENP2@cloNOG,0ND5S@firmNOG,COG3459@NOG"	05E2V|1.25853934844e-317|1060.19616699	G	Glycosyltransferase 36
fig|31899.10.peg.881|SAMN05216182_0723	521460.Athe_0461	5.80E-275	905.5	BPLE				bactNOG[38]	"06CD9@bactNOG,0ENR2@cloNOG,0NGJ0@firmNOG,COG0438@NOG"	06CD9|2.56810050282e-128|431.816040039	M	glycosyl transferase group 1
fig|31899.10.peg.882|SAMN05216182_0724	381764.Fnod_1436	1.70E-206	674	TUAA		K00996		bactNOG[38]	"05D3Q@bactNOG,1CHIG@therNOG,COG2148@NOG"	1CHIG|1.77878705607e-134|451.625976562	M	"Undecaprenyl-phosphate galactose phosphotransferase, WbaP exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase"
fig|31899.10.peg.883|SAMN05216182_0726	521460.Athe_0463	4.50E-102	335.1	SMPB	"GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0008150,GO:0008152,GO:0009987,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0070930,GO:0071704,GO:0097159,GO:1901363"	K03664		bactNOG[38]	"08UH4@bactNOG,0ESC9@cloNOG,0NI29@firmNOG,COG0691@NOG"	08UH4|4.2185147349e-76|258.998046875	O	Binds specifically to the SsrA RNA (tmRNA) and is required for stable association of SsrA with ribosomes (By similarity)
fig|31899.10.peg.884|SAMN05216182_0727	521460.Athe_0464	0	2497.2	SNF				bactNOG[38]	"05C0D@bactNOG,0EQ45@cloNOG,0NEBD@firmNOG,COG0553@NOG"	0EQ45|1.14866569062e-308|1029.90270996	L	snf2 family
fig|31899.10.peg.885|SAMN05216182_0728	521460.Athe_0465	4.50E-234	765.7			K07079		bactNOG[38]	"08J3A@bactNOG,0F792@cloNOG,0P6GK@firmNOG,COG1453@NOG"	08J3A|5.59535333649e-137|458.97479248	C	Aldo Keto reductase
fig|31899.10.peg.886|SAMN05216182_0729	521460.Athe_0466	0	1268.8			"K06147,K11085"		bactNOG[38]	"05BZ1@bactNOG,0ENNU@cloNOG,0NDFU@firmNOG,COG1132@NOG"	0NDFU|2.40497679191e-220|737.450317383	V	ABC transporter
fig|31899.10.peg.887|SAMN05216182_0730	521460.Athe_0467	4.50E-170	556	CAS6		K19091		bactNOG[38]	"08RNC@bactNOG,0EPVP@cloNOG,0NEZ8@firmNOG,COG1583@NOG"	08RNC|2.92748519707e-84|285.444122314	L	CRISPR-associated protein Cas6
fig|31899.10.peg.888|SAMN05216182_0731	521460.Athe_0468	0	1717.7			K07407		bactNOG[38]	"05DME@bactNOG,0EQ4I@cloNOG,0NDTR@firmNOG,COG3345@NOG"	05DME|8.79322555861e-294|980.381347656	G	alpha-galactosidase
fig|31899.10.peg.889|SAMN05216182_0732	521460.Athe_0469	8.10E-185	603.6			K06976		bactNOG[38]	"08X2G@bactNOG,0ETZY@cloNOG,0NIAQ@firmNOG,COG3393@NOG"	08X2G|1.47351328838e-81|277.488647461	K	Gcn5-related n-acetyltransferase
fig|31899.10.peg.890|SAMN05216182_0733	521460.Athe_0470	3.00E-128	413.8					bactNOG[38]	"06AAD@bactNOG,0EXVI@cloNOG,0NSBA@firmNOG,0XZZK@NOG"	06AAD|2.23842277474e-101|340.123687744	S	NA
fig|31899.10.peg.893|SAMN05216182_0735	533240.CRC_00116	1.40E-54	175.4			K09797		bactNOG[38]	"085CR@bactNOG,0FKPV@cyaNOG,COG2859@NOG"	085CR|1.24980747723e-71|243.594619751	S	Periplasmic Protein
fig|31899.10.peg.894|SAMN05216182_0736	521460.Athe_0473	6.00E-272	895.5	HYDF				bactNOG[38]	"05F4F@bactNOG,0EP7U@cloNOG,0NDN9@firmNOG,COG1160@NOG"	05F4F|2.20149843631e-181|605.961608887	S	gtp-binding protein
fig|31899.10.peg.895|SAMN05216182_0737	521460.Athe_0474	1.70E-304	1004.5	ASPA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"K01679,K01744"	ASPT	bactNOG[38]	"08IJ0@bactNOG,0F72Q@cloNOG,0P691@firmNOG,COG1027@NOG"	08IJ0|2.44649382542e-209|698.828186035	E	Aspartate ammonia-lyase
fig|31899.10.peg.896	521460.Athe_0475	9.20E-83	264.9					bactNOG[38]	"0686F@bactNOG,0P0T8@firmNOG,0XVG8@NOG"	0686F|3.40932243611e-43|150.272842407	S	NA
fig|31899.10.peg.899|SAMN05216182_0740	521460.Athe_0477	2.50E-109	353					bactNOG[38]	"05ZKU@bactNOG,0EWMV@cloNOG,0NQ11@firmNOG,12845@NOG"	05ZKU|1.73510462368e-60|206.618621826	S	Rubrerythrin
fig|31899.10.peg.902|SAMN05216182_0742	521460.Athe_0479	1.60E-258	849.1					bactNOG[38]	"08S1J@bactNOG,0ET4P@cloNOG,0NKAV@firmNOG,11GF8@NOG"	08S1J|2.17889763229e-198|661.649658203	S	"Integrase, catalytic region"
fig|31899.10.peg.903	351627.Csac_1689	7.40E-40	124.3	CSAC_0045				bactNOG[38]	"069VU@bactNOG,0EYZ0@cloNOG,0NS57@firmNOG,121NN@NOG"	069VU|7.82647656905e-27|97.0902328491	L	transposase (IS4 family) protein
fig|31899.10.peg.904	351627.Csac_1689	9.10E-34	104.4	CSAC_0045				bactNOG[38]	"069VU@bactNOG,0EYZ0@cloNOG,0NS57@firmNOG,121NN@NOG"	069VU|8.19024666295e-24|87.2428665161	L	transposase (IS4 family) protein
fig|31899.10.peg.905	351627.Csac_1688	2.30E-57	182.8	CSAC_0045				bactNOG[38]	"069VU@bactNOG,0EYZ0@cloNOG,0NS57@firmNOG,121NN@NOG"	069VU|1.56869023114e-46|161.793212891	L	transposase (IS4 family) protein
fig|31899.10.peg.906|SAMN05216182_0744	521460.Athe_0481	1.70E-286	941.4	GEOTH_0464				bactNOG[38]	"05WT4@bactNOG,0NR66@firmNOG,127ZQ@NOG"	05WT4|2.14005082793e-29|106.305351257	S	NA
fig|31899.10.peg.909|SAMN05216182_0746	521460.Athe_0483	3.00E-158	513.9					bactNOG[38]	"08T6H@bactNOG,0ESC0@cloNOG,0NHYX@firmNOG,11HUP@NOG"	08T6H|1.66593291884e-73|250.043640137	S	NA
fig|31899.10.peg.911	521460.Athe_2013	6.80E-119	388.3	MUCPA_0453		K07493		bactNOG[38]	"05D5G@bactNOG,0ENYU@cloNOG,0NDE0@firmNOG,COG3328@NOG"	0ENYU|1.21164281811e-81|277.267700195	L	Transposase
fig|31899.10.peg.912	445973.CLOBAR_00672	9.00E-56	178.2			K07493		bactNOG[38]	"05WD6@bactNOG,0P3XZ@firmNOG,COG3328@NOG"	05WD6|3.95731768507e-61|209.162384033	L	Transposase
fig|31899.10.peg.919|SAMN05216182_0751	521460.Athe_0490	2.10E-166	542.1					bactNOG[38]	"0695Z@bactNOG,0NRTN@firmNOG,0XXNT@NOG"	0695Z|4.05980500149e-43|150.402420044	S	NA
fig|31899.10.peg.924|SAMN05216182_0755	521460.Athe_0499	1.30E-59	190.9			K07045		bactNOG[38]	"07X47@bactNOG,0ES3Q@cloNOG,0NHGD@firmNOG,COG2159@NOG"	07X47|8.32122035578e-24|87.0174865723	S	amidohydrolase
fig|31899.10.peg.925	521460.Athe_0518	2.80E-115	375.4			K12910	CS	bactNOG[38]	"07SDT@bactNOG,0EP3D@cloNOG,0NEQ0@firmNOG,COG0119@NOG"	07SDT|1.93779295319e-67|230.86958313	E	Homocitrate synthase
fig|31899.10.peg.930|SAMN05216182_0761	521460.Athe_0499	1.10E-194	637			K07045		bactNOG[38]	"07X47@bactNOG,0ES3Q@cloNOG,0NHGD@firmNOG,COG2159@NOG"	07X47|1.92716212617e-100|338.74810791	S	amidohydrolase
fig|31899.10.peg.931|SAMN05216182_0762	521460.Athe_0500	3.00E-181	594.5			K06897		bactNOG[38]	"08R8Y@bactNOG,0EQKI@cloNOG,0NF24@firmNOG,COG1237@NOG"	08R8Y|2.50611706318e-75|256.820465088	S	Beta-lactamase domain protein
fig|31899.10.peg.932|SAMN05216182_0763	632292.Calhy_2169	8.60E-169	553.3					bactNOG[38]	"07JEE@bactNOG,0ESDJ@cloNOG,0NQVV@firmNOG,COG1028@NOG"	07JEE|7.4134514263e-67|228.974960327	S	Short-chain dehydrogenase reductase Sdr
fig|31899.10.peg.933|SAMN05216182_0764	688269.Theth_0200	2.70E-267	875.6	ILVB		K01652	"ACHBS,ACLS,GLXCL"	bactNOG[38]	"05C7K@bactNOG,1CGUF@therNOG,COG0028@NOG"	1CGUF|1.49763173227e-251|838.904296875	E	Acetolactate synthase large subunit
fig|31899.10.peg.934|SAMN05216182_0765	521460.Athe_0503	6.20E-104	340.6	ILVN	"GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944"	K01653	ACLS	bactNOG[38]	"08ZP8@bactNOG,0ESCF@cloNOG,0NIAR@firmNOG,COG0440@NOG"	08ZP8|6.12651581845e-79|266.884368896	E	Acetolactate synthase small subunit
fig|31899.10.peg.935|SAMN05216182_0766	521460.Athe_0504	1.70E-227	749.8	ILVC	"GO:0003674,GO:0003824,GO:0004455,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006520,GO:0006549,GO:0006551,GO:0006573,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009097,GO:0009098,GO:0009099,GO:0009987,GO:0016020,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0040007,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0055114,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607"	K00053	"DPR,KARA1,KARA1i,KARA2"	bactNOG[38]	"05C6M@bactNOG,0EPE9@cloNOG,0NE5H@firmNOG,COG0059@NOG"	05C6M|1.10815797296e-158|530.443481445	E	Alpha-keto-beta-hydroxylacyl reductoisomerase
fig|31899.10.peg.936|SAMN05216182_0767	744872.Spica_2675	1.40E-213	699.9	LEUA		"K01649,K02594"	IPPS	bactNOG[38]	"05CYQ@bactNOG,1AMKD@spiNOG,COG0119@NOG"	1AMKD|7.25555107392e-239|796.32019043	E	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)
fig|31899.10.peg.938|SAMN05216182_0769	521460.Athe_0507	0	1170.9	LEUA2		K01649	"CITMS,IPPS"	bactNOG[38]	"05CYQ@bactNOG,0EQ2E@cloNOG,0NDNU@firmNOG,COG0119@NOG"	0EQ2E|6.14055413106e-263|875.830627441	E	2-isopropylmalate synthase homocitrate synthase family protein
fig|31899.10.peg.939|SAMN05216182_0770	521460.Athe_0508	1.40E-137	450.1					bactNOG[38]	"05K4I@bactNOG,0ET8G@cloNOG,0NJAZ@firmNOG,COG1388@NOG,COG2340@NOG"	05K4I|3.43978177987e-73|251.035049438	Q	Scp-like extracellular
fig|31899.10.peg.940|SAMN05216182_0771	521460.Athe_0509	1.50E-38	122.9	FDXA				bactNOG[38]	"084EF@bactNOG,0EVBJ@cloNOG,0NNGN@firmNOG,COG1145@NOG"	084EF|4.05371906081e-27|96.8114852905	C	Ferredoxin
fig|31899.10.peg.941|SAMN05216182_0772	521460.Athe_0510	6.30E-125	409.7	FUMB	"GO:0003674,GO:0003824,GO:0004333,GO:0006091,GO:0006099,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0044237,GO:0044238,GO:0044710,GO:0045333,GO:0055114"	"K01676,K01678"	FUM	bactNOG[38]	"07GFK@bactNOG,0ERT3@cloNOG,0NH6A@firmNOG,COG1838@NOG"	07GFK|1.31626377858e-75|258.502105713	C	fumarate
fig|31899.10.peg.942|SAMN05216182_0773	521460.Athe_0511	1.10E-302	1001.4	YAAO		"K01582,K01583,K01585"	"ARGDC,LYSDC,ORNDC"	bactNOG[38]	"05CXN@bactNOG,0EPMU@cloNOG,0NDYG@firmNOG,COG1982@NOG"	05CXN|1.75001355173e-107|363.624328613	E	decarboxylase
