Rep_gene	Gene_list_chromosome	most_common_function	function_proportion	count_result	Gene_cnt_chromosome	Genome_cnt
fig|632348.3.peg.390|Calkro_0361	fig|632348.3.peg.390|Calkro_0361	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.1383	fig|1121259.3.peg.1383	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	1.0	Counter({'FAD-dependent pyridine nucleotide-disulphide oxidoreductase': 1})	1	1.0
fig|608506.3.peg.1677	fig|608506.3.peg.1677	FMN-dependent NADH-azoreductase (EC 1.7.1.6)	1.0	Counter({'FMN-dependent NADH-azoreductase (EC 1.7.1.6)': 1})	1	1.0
fig|632516.3.peg.955	fig|632516.3.peg.955	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.887|CallaDRAFT_0846	fig|1121259.3.peg.2142,fig|1214564.3.peg.726,fig|1387557.3.peg.641,fig|31899.10.peg.852|SAMN05216182_0693,fig|351627.8.peg.527|Csac_0455,fig|608506.3.peg.431|COB47_0384,fig|632292.3.peg.2342|Calhy_2233,fig|632335.8.peg.2413|Calkr_2230,fig|632348.3.peg.2321|Calkro_2204,fig|632516.3.peg.887|CallaDRAFT_0846,fig|632518.3.peg.294|Calow_0266	hypothetical protein	0.545454545455	Counter({'hypothetical protein': 6, 'YtaF': 3, 'Conserved membrane protein YtaF': 2})	11	11.0
fig|632516.3.peg.774	fig|632516.3.peg.774	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632516.3.peg.2829|CallaDRAFT_2765	fig|632516.3.peg.2829|CallaDRAFT_2765	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|632516.3.peg.772	fig|632516.3.peg.772	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632516.3.peg.773	fig|632516.3.peg.773	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632516.3.peg.770	fig|632516.3.peg.770	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632516.3.peg.2581|CallaDRAFT_2490	fig|632516.3.peg.2581|CallaDRAFT_2490	DNA ligase (NAD(+)) (EC 6.5.1.2)	1.0	Counter({'DNA ligase (NAD(+)) (EC 6.5.1.2)': 1})	1	1.0
fig|632516.3.peg.1421	fig|1121259.3.peg.370,fig|632335.8.peg.366,fig|632516.3.peg.1421	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|632348.3.peg.2266|Calkro_2152	fig|1121259.3.peg.1581,fig|1121259.3.peg.1583,fig|1214564.3.peg.1001,fig|1387555.3.peg.2479,fig|1387557.3.peg.717,fig|31899.10.peg.926|SAMN05216182_0757,fig|31899.10.peg.927|SAMN05216182_0758,fig|608506.3.peg.492|COB47_0439,fig|632335.8.peg.1987|Calkr_1835,fig|632348.3.peg.2265|Calkro_2151,fig|632348.3.peg.2266|Calkro_2152,fig|632516.3.peg.2508|CallaDRAFT_2412,fig|632518.3.peg.387|Calow_0345	hypothetical protein	1.0	Counter({'hypothetical protein': 13})	13	10.0
fig|1121259.3.peg.1470	fig|1121259.3.peg.1470	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1121259.3.peg.1472	fig|1121259.3.peg.1472	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|1121259.3.peg.1473	fig|1121259.3.peg.1473	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.972|SAMN05216182_0804	fig|1121259.3.peg.1652,fig|1214564.3.peg.1582,fig|1387557.3.peg.786,fig|31899.10.peg.972|SAMN05216182_0804,fig|351627.8.peg.875|Csac_0767,fig|608506.3.peg.545|COB47_0486,fig|632292.3.peg.2214|Calhy_2113,fig|632335.8.peg.609|Calkr_0548,fig|632348.3.peg.2206|Calkro_2092,fig|632516.3.peg.2351|CallaDRAFT_2260,fig|632518.3.peg.443|Calow_0396	Spore coat protein S	1.0	Counter({'Spore coat protein S': 11})	11	11.0
fig|1121259.3.peg.1475	fig|1121259.3.peg.1475	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.1478	fig|1121259.3.peg.1478	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.1479	fig|1121259.3.peg.1479,fig|632335.8.peg.2788	Uncharacterized MFS-type transporter	1.0	Counter({'Uncharacterized MFS-type transporter': 2})	2	2.0
fig|632516.3.peg.1909|CallaDRAFT_1840	fig|31899.10.peg.493|SAMN05216182_0363,fig|632516.3.peg.1909|CallaDRAFT_1840	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632518.3.peg.1317|Calow_1231	fig|1121259.3.peg.279,fig|1214564.3.peg.491,fig|1387555.3.peg.1379,fig|1387557.3.peg.1699,fig|31899.10.peg.1944|SAMN05216182_1730,fig|351627.8.peg.2177|Csac_1999,fig|608506.3.peg.1200|COB47_1102,fig|632292.3.peg.1369|Calhy_1284,fig|632335.8.peg.1559|Calkr_1437,fig|632348.3.peg.1336|Calkro_1258,fig|632516.3.peg.84|CallaDRAFT_0082,fig|632518.3.peg.1317|Calow_1231	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	1.0	Counter({'Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)': 12})	12	12.0
fig|632516.3.peg.1362	fig|632516.3.peg.1362	N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces	1.0	Counter({'N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces': 1})	1	1.0
fig|632348.3.peg.1153	fig|1121259.3.peg.1765,fig|1214564.3.peg.1648,fig|1387555.3.peg.1773,fig|1387557.3.peg.1885,fig|351627.8.peg.1886|Csac_1717,fig|608506.3.peg.1032,fig|632292.3.peg.1197,fig|632335.8.peg.1781,fig|632348.3.peg.1153,fig|632516.3.peg.1703|CallaDRAFT_1639	hypothetical protein	0.9	Counter({'hypothetical protein': 9, 'FIG099352: hypothetical protein': 1})	10	10.0
fig|608506.3.peg.641|COB47_0579	fig|1121259.3.peg.837,fig|1214564.3.peg.10,fig|1387555.3.peg.787,fig|1387557.3.peg.886,fig|31899.10.peg.1064|SAMN05216182_0888,fig|351627.8.peg.1334|Csac_1191,fig|608506.3.peg.641|COB47_0579,fig|632292.3.peg.2127|Calhy_2033,fig|632335.8.peg.648|Calkr_0578,fig|632348.3.peg.2111|Calkro_2003,fig|632518.3.peg.551|Calow_0499	SCIFF radical SAM maturase	1.0	Counter({'SCIFF radical SAM maturase': 11})	11	11.0
fig|632292.3.peg.73	fig|632292.3.peg.73	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.1154	fig|1121259.3.peg.1766,fig|1214564.3.peg.1649,fig|1387555.3.peg.1772,fig|1387557.3.peg.1884,fig|351627.8.peg.1887|Csac_1718,fig|608506.3.peg.1033,fig|632292.3.peg.1198,fig|632335.8.peg.1780,fig|632348.3.peg.1154,fig|632516.3.peg.1704|CallaDRAFT_1640	hypothetical protein	0.9	Counter({'hypothetical protein': 9, 'FIG099352: hypothetical protein': 1})	10	10.0
fig|632348.3.peg.1156	fig|632348.3.peg.1156	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1988|CallaDRAFT_1918	fig|1121259.3.peg.2226,fig|1214564.3.peg.1353,fig|1387555.3.peg.409,fig|1387557.3.peg.320,fig|31899.10.peg.442|SAMN05216182_0315,fig|351627.8.peg.2770|Csac_2566,fig|608506.3.peg.61|COB47_0059,fig|632292.3.peg.41|Calhy_0037,fig|632335.8.peg.2685|Calkr_2470,fig|632348.3.peg.54|Calkro_0050,fig|632516.3.peg.1988|CallaDRAFT_1918,fig|632518.3.peg.30|Calow_0029	Capsular polysaccharide biosynthesis protein	1.0	Counter({'Capsular polysaccharide biosynthesis protein': 12})	12	12.0
fig|632292.3.peg.184|Calhy_0165	fig|632292.3.peg.184|Calhy_0165	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 1})	1	1.0
fig|351627.8.peg.597	fig|1214564.3.peg.1171,fig|351627.8.peg.597	Nucleotidyltransferase domain protein, SO_3165 group	0.5	Counter({'Nucleotidyltransferase domain protein, SO_3165 group': 1, 'hypothetical protein': 1})	2	2.0
fig|351627.8.peg.595	fig|351627.8.peg.595	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1387555.3.peg.880	fig|1121259.3.peg.1899,fig|1214564.3.peg.177,fig|1387555.3.peg.880,fig|1387557.3.peg.2581,fig|31899.10.peg.2725|SAMN05216182_2483,fig|351627.8.peg.1405|Csac_1260,fig|608506.3.peg.2084|COB47_1951,fig|632292.3.peg.638|Calhy_0586,fig|632335.8.peg.466|Calkr_0409,fig|632348.3.peg.495|Calkro_0465,fig|632516.3.peg.725|CallaDRAFT_0702,fig|632518.3.peg.1979|Calow_1860	Flagellum-specific ATP synthase FliI	1.0	Counter({'Flagellum-specific ATP synthase FliI': 12})	12	12.0
fig|1387555.3.peg.881	fig|1121259.3.peg.1900,fig|1214564.3.peg.176,fig|1387555.3.peg.881,fig|1387557.3.peg.2580,fig|31899.10.peg.2724|SAMN05216182_2482,fig|351627.8.peg.1406|Csac_1261,fig|608506.3.peg.2083|COB47_1950,fig|632292.3.peg.639|Calhy_0587,fig|632335.8.peg.467|Calkr_0410,fig|632348.3.peg.496|Calkro_0466,fig|632516.3.peg.726|CallaDRAFT_0703,fig|632518.3.peg.1978|Calow_1859	Flagellar protein FliJ	1.0	Counter({'Flagellar protein FliJ': 12})	12	12.0
fig|1387555.3.peg.882	fig|1121259.3.peg.1901,fig|1214564.3.peg.175,fig|1387555.3.peg.882,fig|1387557.3.peg.2579,fig|31899.10.peg.2723|SAMN05216182_2481,fig|351627.8.peg.1407|Csac_1262,fig|608506.3.peg.2082|COB47_1949,fig|632292.3.peg.640|Calhy_0588,fig|632335.8.peg.468|Calkr_0411,fig|632348.3.peg.497|Calkro_0467,fig|632516.3.peg.727|CallaDRAFT_0704,fig|632518.3.peg.1977|Calow_1858	Flagellar protein FlbB	1.0	Counter({'Flagellar protein FlbB': 12})	12	12.0
fig|1387555.3.peg.883	fig|1121259.3.peg.1902,fig|1214564.3.peg.174,fig|1387555.3.peg.883,fig|1387557.3.peg.2578,fig|31899.10.peg.2722|SAMN05216182_2480,fig|351627.8.peg.1408|Csac_1263,fig|608506.3.peg.2081|COB47_1948,fig|632292.3.peg.641|Calhy_0589,fig|632335.8.peg.469|Calkr_0412,fig|632348.3.peg.498|Calkro_0468,fig|632516.3.peg.728|CallaDRAFT_0705,fig|632518.3.peg.1976|Calow_1857	Flagellar hook-length control protein FliK	1.0	Counter({'Flagellar hook-length control protein FliK': 12})	12	12.0
fig|632292.3.peg.2304|Calhy_2200	fig|632292.3.peg.2304|Calhy_2200	Predicted rhamnose oligosaccharide ABC transport system, substrate-binding component	1.0	Counter({'Predicted rhamnose oligosaccharide ABC transport system, substrate-binding component': 1})	1	1.0
fig|632518.3.peg.776	fig|632518.3.peg.776	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.886	fig|1121259.3.peg.1906,fig|1214564.3.peg.171,fig|1387555.3.peg.886,fig|1387557.3.peg.2575,fig|31899.10.peg.2719|SAMN05216182_2477,fig|351627.8.peg.1411|Csac_1266,fig|608506.3.peg.2078|COB47_1945,fig|632292.3.peg.644|Calhy_0592,fig|632335.8.peg.473|Calkr_0415,fig|632348.3.peg.501|Calkro_0471,fig|632516.3.peg.731|CallaDRAFT_0708,fig|632518.3.peg.1973|Calow_1854	Flagellar hook protein FlgE	1.0	Counter({'Flagellar hook protein FlgE': 12})	12	12.0
fig|1387555.3.peg.887	fig|1121259.3.peg.1907,fig|1214564.3.peg.170,fig|1387555.3.peg.887,fig|1387557.3.peg.2574,fig|31899.10.peg.2718|SAMN05216182_2476,fig|351627.8.peg.1412|Csac_1267,fig|608506.3.peg.2077|COB47_1944,fig|632292.3.peg.645|Calhy_0593,fig|632335.8.peg.474|Calkr_0416,fig|632348.3.peg.502|Calkro_0472,fig|632516.3.peg.732|CallaDRAFT_0709,fig|632518.3.peg.1972|Calow_1853	Flagellar protein FlbD	1.0	Counter({'Flagellar protein FlbD': 12})	12	12.0
fig|351627.8.peg.2241	fig|1214564.3.peg.556,fig|351627.8.peg.2241,fig|608506.3.peg.1576,fig|632518.3.peg.947	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|1387555.3.peg.889	fig|1121259.3.peg.1909,fig|1214564.3.peg.168,fig|1387555.3.peg.889,fig|1387557.3.peg.2572,fig|31899.10.peg.2716|SAMN05216182_2474,fig|351627.8.peg.1414|Csac_1269,fig|608506.3.peg.2075|COB47_1942,fig|632292.3.peg.647|Calhy_0595,fig|632335.8.peg.476|Calkr_0418,fig|632348.3.peg.504|Calkro_0474,fig|632516.3.peg.734|CallaDRAFT_0711,fig|632518.3.peg.1970|Calow_1851	Flagellar motor switch protein FliM	1.0	Counter({'Flagellar motor switch protein FliM': 12})	12	12.0
fig|1387555.3.peg.2258	fig|1121259.3.peg.2324,fig|1214564.3.peg.1006,fig|1387555.3.peg.2258,fig|1387557.3.peg.1070,fig|31899.10.peg.1259|SAMN05216182_1071,fig|351627.8.peg.1069|Csac_0946,fig|608506.3.peg.803|COB47_0729,fig|632292.3.peg.1978|Calhy_1887,fig|632335.8.peg.2071|Calkr_1912,fig|632348.3.peg.1951|Calkro_1853,fig|632516.3.peg.604|CallaDRAFT_0581,fig|632518.3.peg.708|Calow_0646	hypothetical protein	0.583333333333	Counter({'hypothetical protein': 7, 'TPR domain protein': 3, 'Tetratricopeptide TPR_2 repeat protein': 2})	12	12.0
fig|1387555.3.peg.2259	fig|1121259.3.peg.2325,fig|1214564.3.peg.1007,fig|1387555.3.peg.2259,fig|1387557.3.peg.1069,fig|31899.10.peg.1258|SAMN05216182_1070,fig|351627.8.peg.1068|Csac_0945,fig|608506.3.peg.802|COB47_0728,fig|632292.3.peg.1979|Calhy_1888,fig|632335.8.peg.2072|Calkr_1913,fig|632348.3.peg.1952|Calkro_1854,fig|632516.3.peg.603|CallaDRAFT_0580,fig|632518.3.peg.707|Calow_0645	ATP-dependent DNA helicase	1.0	Counter({'ATP-dependent DNA helicase': 12})	12	12.0
fig|1387555.3.peg.2257	fig|1387555.3.peg.2257	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632335.8.peg.2590|Calkr_2389	fig|351627.8.peg.751,fig|632335.8.peg.2590|Calkr_2389,fig|632348.3.peg.198|Calkro_0187	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|1387555.3.peg.2255	fig|1387555.3.peg.2255	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.2252	fig|1121259.3.peg.1871,fig|1214564.3.peg.2136,fig|1387555.3.peg.2252,fig|1387557.3.peg.1076,fig|31899.10.peg.1264|SAMN05216182_1077,fig|351627.8.peg.1076|Csac_0952,fig|608506.3.peg.808|COB47_0734,fig|632292.3.peg.1973|Calhy_1882,fig|632335.8.peg.2064|Calkr_1906,fig|632348.3.peg.1946|Calkro_1848,fig|632516.3.peg.609|CallaDRAFT_0586,fig|632518.3.peg.713|Calow_0651	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	1.0	Counter({"DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)": 12})	12	12.0
fig|1387555.3.peg.2250	fig|1121259.3.peg.1868,fig|1214564.3.peg.2134,fig|1387555.3.peg.2250,fig|1387557.3.peg.1078,fig|31899.10.peg.1266|SAMN05216182_1079,fig|351627.8.peg.1080|Csac_0955,fig|608506.3.peg.810|COB47_0736,fig|632292.3.peg.1971|Calhy_1880,fig|632335.8.peg.2062|Calkr_1904,fig|632348.3.peg.1944|Calkro_1846,fig|632516.3.peg.611|CallaDRAFT_0588,fig|632518.3.peg.715|Calow_0653	SSU ribosomal protein S12p (S23e)	1.0	Counter({'SSU ribosomal protein S12p (S23e)': 12})	12	12.0
fig|632518.3.peg.1756|Calow_1657	fig|632518.3.peg.1756|Calow_1657	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.140|CallaDRAFT_0139	fig|1121259.3.peg.222,fig|1214564.3.peg.1867,fig|1387555.3.peg.1537,fig|1387557.3.peg.1622,fig|31899.10.peg.1877|SAMN05216182_1664,fig|351627.8.peg.2121|Csac_1941,fig|608506.3.peg.1268|COB47_1168,fig|632292.3.peg.1428|Calhy_1343,fig|632335.8.peg.1502|Calkr_1380,fig|632348.3.peg.1396|Calkro_1317,fig|632516.3.peg.140|CallaDRAFT_0139,fig|632518.3.peg.1258|Calow_1173	Branched-chain amino acid ABC transporter, permease protein LivM (TC 3.A.1.4.1)	1.0	Counter({'Branched-chain amino acid ABC transporter, permease protein LivM (TC 3.A.1.4.1)': 12})	12	12.0
fig|351627.8.peg.1535	fig|351627.8.peg.1535	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.2333	fig|632335.8.peg.2333	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.2335	fig|632335.8.peg.2335	Helix-turn-helix domain protein	1.0	Counter({'Helix-turn-helix domain protein': 1})	1	1.0
fig|632335.8.peg.2334	fig|632335.8.peg.2334	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2752|CallaDRAFT_2672	fig|632516.3.peg.2752|CallaDRAFT_2672	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632518.3.peg.1048|Calow_0972	fig|1121259.3.peg.2502,fig|1214564.3.peg.62,fig|1387555.3.peg.1843,fig|1387557.3.peg.1391,fig|31899.10.peg.1642|SAMN05216182_1438,fig|351627.8.peg.1771|Csac_1608,fig|608506.3.peg.1481|COB47_1373,fig|632292.3.peg.1667|Calhy_1575,fig|632335.8.peg.1261|Calkr_1142,fig|632348.3.peg.1624|Calkro_1537,fig|632516.3.peg.1483|CallaDRAFT_1423,fig|632518.3.peg.1048|Calow_0972	Ribonuclease III (EC 3.1.26.3)	1.0	Counter({'Ribonuclease III (EC 3.1.26.3)': 12})	12	12.0
fig|632335.8.peg.2338	fig|632335.8.peg.2338	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.176|Csac_0147	fig|1214564.3.peg.1547,fig|351627.8.peg.176|Csac_0147	Mobile element protein	1.0	Counter({'Mobile element protein': 2})	2	2.0
fig|632518.3.peg.1836|Calow_1727	fig|632518.3.peg.1836|Calow_1727	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2633	fig|1387557.3.peg.2633	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632518.3.peg.420	fig|31899.10.peg.2788|SAMN05216182_2543,fig|632335.8.peg.689,fig|632516.3.peg.325|CallaDRAFT_0323,fig|632518.3.peg.420	Mobile element protein	0.75	Counter({'Mobile element protein': 3, 'Transposase': 1})	4	4.0
fig|632518.3.peg.421	fig|632518.3.peg.421	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632518.3.peg.1118	fig|632518.3.peg.1118	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632518.3.peg.424	fig|632518.3.peg.424	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.1923	fig|1387557.3.peg.1923,fig|351627.8.peg.1846|Csac_1678,fig|632335.8.peg.1814|Calkr_1680,fig|632348.3.peg.1111|Calkro_1049	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|31899.10.peg.2013|SAMN05216182_1802	fig|1121259.3.peg.1983,fig|1214564.3.peg.674,fig|1387555.3.peg.1231,fig|1387557.3.peg.1771,fig|31899.10.peg.2013|SAMN05216182_1802,fig|351627.8.peg.2375|Csac_2193,fig|608506.3.peg.1131|COB47_1036,fig|632292.3.peg.1303|Calhy_1219,fig|632335.8.peg.1677|Calkr_1548,fig|632348.3.peg.1270|Calkro_1196,fig|632516.3.peg.1127|CallaDRAFT_1067,fig|632518.3.peg.1379|Calow_1293	Nitroreductase	0.75	Counter({'Nitroreductase': 9, 'Putative NADH dehydrogenase/NAD(P)H nitroreductase (EC 1.-.-.-)': 3})	12	12.0
fig|1387557.3.peg.1256	fig|1121259.3.peg.1009,fig|1214564.3.peg.609,fig|1387555.3.peg.1276,fig|1387557.3.peg.1256,fig|31899.10.peg.1485|SAMN05216182_1283,fig|351627.8.peg.2299|Csac_2119,fig|608506.3.peg.1619|COB47_1508,fig|632292.3.peg.1817|Calhy_1725,fig|632335.8.peg.1102|Calkr_0991,fig|632348.3.peg.1767|Calkro_1676,fig|632516.3.peg.1791|CallaDRAFT_1722,fig|632518.3.peg.859|Calow_0789	Uncharacterized MFS-type transporter	1.0	Counter({'Uncharacterized MFS-type transporter': 12})	12	12.0
fig|1387557.3.peg.1927	fig|1387557.3.peg.1927	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.942|SAMN05216182_0773	fig|31899.10.peg.942|SAMN05216182_0773	Arginine decarboxylase (EC 4.1.1.19); Lysine decarboxylase (EC 4.1.1.18)	1.0	Counter({'Arginine decarboxylase (EC 4.1.1.19); Lysine decarboxylase (EC 4.1.1.18)': 1})	1	1.0
fig|632335.8.peg.343	fig|632335.8.peg.343	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1261|CallaDRAFT_1205	fig|632516.3.peg.1261|CallaDRAFT_1205	Efflux ABC transporter, permease/ATP-binding protein BLi02168	1.0	Counter({'Efflux ABC transporter, permease/ATP-binding protein BLi02168': 1})	1	1.0
fig|1387555.3.peg.1508	fig|1387555.3.peg.1508	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1507	fig|1387555.3.peg.1507	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1506	fig|1387555.3.peg.1506	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1387555.3.peg.1505	fig|1387555.3.peg.1505	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1504	fig|1214564.3.peg.201,fig|1387555.3.peg.1504	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|1387555.3.peg.1503	fig|1214564.3.peg.202,fig|1387555.3.peg.1503	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|1387555.3.peg.1502	fig|1214564.3.peg.203,fig|1387555.3.peg.1502	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|1387555.3.peg.1500	fig|1387555.3.peg.1500	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.2466	fig|1121259.3.peg.2466	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.2467	fig|1121259.3.peg.2467	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.2460	fig|1121259.3.peg.2460	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.2461	fig|1121259.3.peg.2461,fig|632335.8.peg.812|Calkr_0715,fig|632516.3.peg.1737|CallaDRAFT_1671	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|1387557.3.peg.2694	fig|1387557.3.peg.2694	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2695	fig|1387557.3.peg.2695	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2696	fig|1387557.3.peg.2696	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2691	fig|1387557.3.peg.2691	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2692	fig|1387557.3.peg.2692	Glycosyl transferase, group 1 precursor	1.0	Counter({'Glycosyl transferase, group 1 precursor': 1})	1	1.0
fig|351627.8.peg.2835|Csac_2625	fig|1387557.3.peg.2302,fig|351627.8.peg.2835|Csac_2625,fig|632292.3.peg.433|Calhy_0396,fig|632348.3.peg.723|Calkro_0679	SAF domain protein	0.5	Counter({'SAF domain protein': 2, 'hypothetical protein': 2})	4	4.0
fig|351627.8.peg.640|Csac_0556	fig|351627.8.peg.640|Csac_0556	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|31899.10.peg.2290|SAMN05216182_2078	fig|1121259.3.peg.643,fig|1214564.3.peg.398,fig|1387557.3.peg.2058,fig|31899.10.peg.2290|SAMN05216182_2078,fig|351627.8.peg.2506|Csac_2321,fig|608506.3.peg.1708|COB47_1592,fig|632292.3.peg.1041|Calhy_0967,fig|632335.8.peg.997|Calkr_0893,fig|632348.3.peg.993|Calkro_0934,fig|632518.3.peg.1617|Calow_1522	ABC transporter, permease protein 2 (cluster 11, riboflavin/purine nucleoside/unknown)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 11, riboflavin/purine nucleoside/unknown)': 10})	10	10.0
fig|1214564.3.peg.476	fig|1214564.3.peg.476	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.477	fig|1214564.3.peg.477	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.474	fig|1214564.3.peg.474	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.475	fig|1214564.3.peg.475	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.473	fig|1214564.3.peg.473	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.1467	fig|632335.8.peg.1467	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.1798|Calkr_1664	fig|1121259.3.peg.1748,fig|1214564.3.peg.1633,fig|1387555.3.peg.1792,fig|1387557.3.peg.1903,fig|31899.10.peg.2161|SAMN05216182_1941,fig|351627.8.peg.1868|Csac_1700,fig|608506.3.peg.1016|COB47_0932,fig|632292.3.peg.1182|Calhy_1102,fig|632335.8.peg.1798|Calkr_1664,fig|632348.3.peg.1136|Calkro_1073,fig|632516.3.peg.1687|CallaDRAFT_1622,fig|632518.3.peg.1484|Calow_1397	Flagellar biosynthesis protein FliS	1.0	Counter({'Flagellar biosynthesis protein FliS': 12})	12	12.0
