TAG	Rep_gene	Rep_len	Rep_genome	Gene_cnt_chromosome	Gene_list_chromosome	Gene_cnt_plasmid	Gene_list_plasmid	Genome_cnt	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3	most_common_function	function_proportion	count_result
TAG0494	fig|1214564.3.peg.1620	166	1214564.3	1	fig|1214564.3.peg.1620	0	-	1	1214564.3	-	1620	-	-	-	-	-	-	-	-	-	-	Hypothetical iron-sulfur cluster binding protein YccM	1.0	Counter({'Hypothetical iron-sulfur cluster binding protein YccM': 1})
TAG0495	fig|1214564.3.peg.1627	40	1214564.3	1	fig|1214564.3.peg.1627	0	-	1	1214564.3	-	1627	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0496	fig|1214564.3.peg.1629	49	1214564.3	1	fig|1214564.3.peg.1629	0	-	1	1214564.3	-	1629	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0497	fig|1214564.3.peg.1630	105	1214564.3	1	fig|1214564.3.peg.1630	0	-	1	1214564.3	-	1630	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0498	fig|1214564.3.peg.1639	273	1214564.3	12	fig|1121259.3.peg.1755,fig|1214564.3.peg.1639,fig|1387555.3.peg.1784,fig|1387557.3.peg.1896,fig|31899.10.peg.2154|SAMN05216182_1934,fig|351627.8.peg.1876|Csac_1707,fig|608506.3.peg.1023|COB47_0938,fig|632292.3.peg.1188|Calhy_1108,fig|632335.8.peg.1791|Calkr_1657,fig|632348.3.peg.1143|Calkro_1080,fig|632516.3.peg.1694|CallaDRAFT_1629,fig|632518.3.peg.1476|Calow_1390	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1755	1639	1784	1896	2154_1934	1876_1707	1023_0938	1188_1108	1791_1657	1143_1080	1694_1629	1476_1390	Glutamate 5-kinase (EC 2.7.2.11)	1.0	Counter({'Glutamate 5-kinase (EC 2.7.2.11)': 12})
TAG0499	fig|1214564.3.peg.1651	54	1214564.3	12	fig|1121259.3.peg.1769,fig|1214564.3.peg.1651,fig|1387555.3.peg.1768,fig|1387557.3.peg.1881,fig|31899.10.peg.2141|SAMN05216182_1922,fig|351627.8.peg.1889,fig|608506.3.peg.1035|COB47_0949,fig|632292.3.peg.1201|Calhy_1119,fig|632335.8.peg.1777|Calkr_1645,fig|632348.3.peg.1157|Calkro_1092,fig|632516.3.peg.1707|CallaDRAFT_1642,fig|632518.3.peg.1463|Calow_1377	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1769	1651	1768	1881	2141_1922	1889	1035_0949	1201_1119	1777_1645	1157_1092	1707_1642	1463_1377	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
TAG0500	fig|1214564.3.peg.17	392	1214564.3	1	fig|1214564.3.peg.17	0	-	1	1214564.3	-	17	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0501	fig|1214564.3.peg.1701	37	1214564.3	1	fig|1214564.3.peg.1701	0	-	1	1214564.3	-	1701	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0502	fig|1214564.3.peg.1747	104	1214564.3	1	fig|1214564.3.peg.1747	0	-	1	1214564.3	-	1747	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0503	fig|1214564.3.peg.1748	80	1214564.3	1	fig|1214564.3.peg.1748	0	-	1	1214564.3	-	1748	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0504	fig|1214564.3.peg.1751	52	1214564.3	1	fig|1214564.3.peg.1751	0	-	1	1214564.3	-	1751	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0505	fig|1214564.3.peg.1752	37	1214564.3	1	fig|1214564.3.peg.1752	0	-	1	1214564.3	-	1752	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0506	fig|1214564.3.peg.1760	148	1214564.3	1	fig|1214564.3.peg.1760	0	-	1	1214564.3	-	1760	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0507	fig|1214564.3.peg.1763	83	1214564.3	1	fig|1214564.3.peg.1763	0	-	1	1214564.3	-	1763	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0508	fig|1214564.3.peg.1764	412	1214564.3	1	fig|1214564.3.peg.1764	0	-	1	1214564.3	-	1764	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0509	fig|1214564.3.peg.1765	176	1214564.3	2	fig|1214564.3.peg.1765,fig|351627.8.peg.556|Csac_0483	0	-	2	1214564.3;351627.8	-	1765	-	-	-	556_0483	-	-	-	-	-	-	Zn-dependent protease	1.0	Counter({'Zn-dependent protease': 2})
TAG0510	fig|1214564.3.peg.1768	130	1214564.3	1	fig|1214564.3.peg.1768	0	-	1	1214564.3	-	1768	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0511	fig|1214564.3.peg.1769	40	1214564.3	1	fig|1214564.3.peg.1769	0	-	1	1214564.3	-	1769	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0512	fig|1214564.3.peg.1775	162	1214564.3	1	fig|1214564.3.peg.1775	0	-	1	1214564.3	-	1775	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0513	fig|1214564.3.peg.1776	126	1214564.3	1	fig|1214564.3.peg.1776	0	-	1	1214564.3	-	1776	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0514	fig|1214564.3.peg.1777	209	1214564.3	1	fig|1214564.3.peg.1777	0	-	1	1214564.3	-	1777	-	-	-	-	-	-	-	-	-	-	Nitrogenase FeMo-cofactor scaffold and assembly protein NifE	1.0	Counter({'Nitrogenase FeMo-cofactor scaffold and assembly protein NifE': 1})
TAG0515	fig|1214564.3.peg.1783	70	1214564.3	1	fig|1214564.3.peg.1783	0	-	1	1214564.3	-	1783	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0516	fig|1214564.3.peg.1785	49	1214564.3	1	fig|1214564.3.peg.1785	0	-	1	1214564.3	-	1785	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0517	fig|1214564.3.peg.1805	43	1214564.3	1	fig|1214564.3.peg.1805	0	-	1	1214564.3	-	1805	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0518	fig|1214564.3.peg.1806	170	1214564.3	2	fig|1121259.3.peg.547,fig|1214564.3.peg.1806	0	-	2	1121259.3;1214564.3	547	1806	-	-	-	-	-	-	-	-	-	-	CAAX amino terminal protease family protein	0.5	Counter({'CAAX amino terminal protease family protein': 1, 'hypothetical protein': 1})
TAG0519	fig|1214564.3.peg.1823	79	1214564.3	1	fig|1214564.3.peg.1823	0	-	1	1214564.3	-	1823	-	-	-	-	-	-	-	-	-	-	SOS-response repressor and protease LexA (EC 3.4.21.88)	1.0	Counter({'SOS-response repressor and protease LexA (EC 3.4.21.88)': 1})
TAG0520	fig|1214564.3.peg.1829	116	1214564.3	1	fig|1214564.3.peg.1829	0	-	1	1214564.3	-	1829	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0521	fig|1214564.3.peg.1830	75	1214564.3	1	fig|1214564.3.peg.1830	0	-	1	1214564.3	-	1830	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0522	fig|1214564.3.peg.1832	146	1214564.3	2	fig|1214564.3.peg.1832,fig|632348.3.peg.2063|Calkro_1958	0	-	2	1214564.3;632348.3	-	1832	-	-	-	-	-	-	-	2063_1958	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0523	fig|1214564.3.peg.1850	39	1214564.3	1	fig|1214564.3.peg.1850	0	-	1	1214564.3	-	1850	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0524	fig|1214564.3.peg.1856	61	1214564.3	1	fig|1214564.3.peg.1856	0	-	1	1214564.3	-	1856	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0525	fig|1214564.3.peg.1858	98	1214564.3	2	fig|1214564.3.peg.1858,fig|1387557.3.peg.283	0	-	2	1214564.3;1387557.3	-	1858	-	283	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0526	fig|1214564.3.peg.1859	44	1214564.3	1	fig|1214564.3.peg.1859	0	-	1	1214564.3	-	1859	-	-	-	-	-	-	-	-	-	-	protein of unknown function DUF955	1.0	Counter({'protein of unknown function DUF955': 1})
TAG0527	fig|1214564.3.peg.1860	66	1214564.3	1	fig|1214564.3.peg.1860	0	-	1	1214564.3	-	1860	-	-	-	-	-	-	-	-	-	-	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	1.0	Counter({'Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)': 1})
TAG0528	fig|1214564.3.peg.1870	208	1214564.3	12	fig|1121259.3.peg.225,fig|1214564.3.peg.1870,fig|1387555.3.peg.1533,fig|1387557.3.peg.1625,fig|31899.10.peg.1881|SAMN05216182_1667,fig|351627.8.peg.2124|Csac_1944,fig|608506.3.peg.1265|COB47_1165,fig|632292.3.peg.1425|Calhy_1340,fig|632335.8.peg.1505|Calkr_1383,fig|632348.3.peg.1393|Calkro_1314,fig|632516.3.peg.137|CallaDRAFT_0136,fig|632518.3.peg.1261|Calow_1176	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	225	1870	1533	1625	1881_1667	2124_1944	1265_1165	1425_1340	1505_1383	1393_1314	137_0136	1261_1176	Uncharacterized protein MJ0504	1.0	Counter({'Uncharacterized protein MJ0504': 12})
TAG0529	fig|1214564.3.peg.1872	126	1214564.3	1	fig|1214564.3.peg.1872	0	-	1	1214564.3	-	1872	-	-	-	-	-	-	-	-	-	-	Peptidoglycan-binding LysM	1.0	Counter({'Peptidoglycan-binding LysM': 1})
TAG0530	fig|1214564.3.peg.1873	93	1214564.3	1	fig|1214564.3.peg.1873	0	-	1	1214564.3	-	1873	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0531	fig|1214564.3.peg.1874	143	1214564.3	1	fig|1214564.3.peg.1874	0	-	1	1214564.3	-	1874	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0532	fig|1214564.3.peg.1875	72	1214564.3	1	fig|1214564.3.peg.1875	0	-	1	1214564.3	-	1875	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0533	fig|1214564.3.peg.1876	80	1214564.3	1	fig|1214564.3.peg.1876	0	-	1	1214564.3	-	1876	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0534	fig|1214564.3.peg.1877	37	1214564.3	1	fig|1214564.3.peg.1877	0	-	1	1214564.3	-	1877	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0535	fig|1214564.3.peg.1878	135	1214564.3	1	fig|1214564.3.peg.1878	0	-	1	1214564.3	-	1878	-	-	-	-	-	-	-	-	-	-	Uracil permease @ Uracil:proton symporter UraA	1.0	Counter({'Uracil permease @ Uracil:proton symporter UraA': 1})
TAG0536	fig|1214564.3.peg.1879	141	1214564.3	1	fig|1214564.3.peg.1879	0	-	1	1214564.3	-	1879	-	-	-	-	-	-	-	-	-	-	tributyrin esterase	1.0	Counter({'tributyrin esterase': 1})
TAG0537	fig|1214564.3.peg.1880	130	1214564.3	1	fig|1214564.3.peg.1880	0	-	1	1214564.3	-	1880	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0538	fig|1214564.3.peg.1887	59	1214564.3	1	fig|1214564.3.peg.1887	0	-	1	1214564.3	-	1887	-	-	-	-	-	-	-	-	-	-	Thiol:disulfide oxidoreductase related to ResA	1.0	Counter({'Thiol:disulfide oxidoreductase related to ResA': 1})
TAG0539	fig|1214564.3.peg.1888	101	1214564.3	1	fig|1214564.3.peg.1888	0	-	1	1214564.3	-	1888	-	-	-	-	-	-	-	-	-	-	Thiol:disulfide oxidoreductase related to ResA	1.0	Counter({'Thiol:disulfide oxidoreductase related to ResA': 1})
TAG0540	fig|1214564.3.peg.193	62	1214564.3	1	fig|1214564.3.peg.193	0	-	1	1214564.3	-	193	-	-	-	-	-	-	-	-	-	-	Regulatory protein ArsR	1.0	Counter({'Regulatory protein ArsR': 1})
TAG0541	fig|1214564.3.peg.1931	486	1214564.3	12	fig|1121259.3.peg.2404,fig|1214564.3.peg.1931,fig|1387555.3.peg.979,fig|1387557.3.peg.2236,fig|31899.10.peg.2467|SAMN05216182_2250,fig|351627.8.peg.1135|Csac_1004,fig|608506.3.peg.1880|COB47_1758,fig|632292.3.peg.889|Calhy_0827,fig|632335.8.peg.857|Calkr_0755,fig|632348.3.peg.789|Calkro_0744,fig|632516.3.peg.662|CallaDRAFT_0639,fig|632518.3.peg.1770|Calow_1671	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	2404	1931	979	2236	2467_2250	1135_1004	1880_1758	889_0827	857_0755	789_0744	662_0639	1770_1671	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ	1.0	Counter({'Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ': 12})
TAG0542	fig|1214564.3.peg.194	37	1214564.3	1	fig|1214564.3.peg.194	0	-	1	1214564.3	-	194	-	-	-	-	-	-	-	-	-	-	Uncharacterized membrane spanning protein, contains VanZ-like domain	1.0	Counter({'Uncharacterized membrane spanning protein, contains VanZ-like domain': 1})
TAG0543	fig|1214564.3.peg.1967	55	1214564.3	1	fig|1214564.3.peg.1967	0	-	1	1214564.3	-	1967	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0544	fig|1214564.3.peg.1970	40	1214564.3	1	fig|1214564.3.peg.1970	0	-	1	1214564.3	-	1970	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0545	fig|1214564.3.peg.1980	65	1214564.3	1	fig|1214564.3.peg.1980	0	-	1	1214564.3	-	1980	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0546	fig|1214564.3.peg.1985	56	1214564.3	1	fig|1214564.3.peg.1985	0	-	1	1214564.3	-	1985	-	-	-	-	-	-	-	-	-	-	N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces	1.0	Counter({'N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces': 1})
TAG0547	fig|1214564.3.peg.1986	70	1214564.3	1	fig|1214564.3.peg.1986	0	-	1	1214564.3	-	1986	-	-	-	-	-	-	-	-	-	-	N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces	1.0	Counter({'N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces': 1})
TAG0548	fig|1214564.3.peg.1987	88	1214564.3	3	fig|1214564.3.peg.1987,fig|632335.8.peg.66,fig|632516.3.peg.475|CallaDRAFT_0456	0	-	3	1214564.3;632335.8;632516.3	-	1987	-	-	-	-	-	-	66	-	475_0456	-	Methyltransferase type 11	1.0	Counter({'Methyltransferase type 11': 3})
TAG0549	fig|1214564.3.peg.1988	41	1214564.3	1	fig|1214564.3.peg.1988	0	-	1	1214564.3	-	1988	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0550	fig|1214564.3.peg.199	50	1214564.3	1	fig|1214564.3.peg.199	0	-	1	1214564.3	-	199	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0551	fig|1214564.3.peg.1998	179	1214564.3	2	fig|1214564.3.peg.1998,fig|351627.8.peg.23	0	-	2	1214564.3;351627.8	-	1998	-	-	-	23	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0552	fig|1214564.3.peg.1999	349	1214564.3	1	fig|1214564.3.peg.1999	0	-	1	1214564.3	-	1999	-	-	-	-	-	-	-	-	-	-	Transposase	1.0	Counter({'Transposase': 1})
TAG0553	fig|1214564.3.peg.2000	42	1214564.3	1	fig|1214564.3.peg.2000	0	-	1	1214564.3	-	2000	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0554	fig|1214564.3.peg.2001	62	1214564.3	1	fig|1214564.3.peg.2001	0	-	1	1214564.3	-	2001	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0555	fig|1214564.3.peg.2002	58	1214564.3	1	fig|1214564.3.peg.2002	0	-	1	1214564.3	-	2002	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0556	fig|1214564.3.peg.2003	39	1214564.3	1	fig|1214564.3.peg.2003	0	-	1	1214564.3	-	2003	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0557	fig|1214564.3.peg.2004	72	1214564.3	1	fig|1214564.3.peg.2004	0	-	1	1214564.3	-	2004	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0558	fig|1214564.3.peg.2005	276	1214564.3	1	fig|1214564.3.peg.2005	0	-	1	1214564.3	-	2005	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0559	fig|1214564.3.peg.2006	111	1214564.3	2	fig|1214564.3.peg.2006,fig|31899.10.peg.2744|SAMN05216182_2501	0	-	2	1214564.3;31899.10	-	2006	-	-	2744_2501	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG0560	fig|1214564.3.peg.2014	38	1214564.3	1	fig|1214564.3.peg.2014	0	-	1	1214564.3	-	2014	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0561	fig|1214564.3.peg.2016	57	1214564.3	1	fig|1214564.3.peg.2016	0	-	1	1214564.3	-	2016	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0562	fig|1214564.3.peg.2018	432	1214564.3	1	fig|1214564.3.peg.2018	0	-	1	1214564.3	-	2018	-	-	-	-	-	-	-	-	-	-	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)	1.0	Counter({'Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)': 1})
TAG0563	fig|1214564.3.peg.2020	42	1214564.3	1	fig|1214564.3.peg.2020	0	-	1	1214564.3	-	2020	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0564	fig|1214564.3.peg.2024	545	1214564.3	11	fig|1121259.3.peg.812,fig|1214564.3.peg.2024,fig|1387555.3.peg.729,fig|1387557.3.peg.857,fig|31899.10.peg.1035|SAMN05216182_0866,fig|351627.8.peg.790|Csac_0685,fig|632292.3.peg.2153|Calhy_2057,fig|632335.8.peg.2165|Calkr_1999,fig|632348.3.peg.2143|Calkro_2029,fig|632516.3.peg.1541|CallaDRAFT_1482,fig|632518.3.peg.518|Calow_0466	0	-	11	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;632292.3;632335.8;632348.3;632516.3;632518.3	812	2024	729	857	1035_0866	790_0685	-	2153_2057	2165_1999	2143_2029	1541_1482	518_0466	Uncharacterized MFS-type transporter	1.0	Counter({'Uncharacterized MFS-type transporter': 11})
TAG0565	fig|1214564.3.peg.2039	626	1214564.3	4	fig|1121259.3.peg.2033,fig|1214564.3.peg.2039,fig|351627.8.peg.773,fig|632292.3.peg.1254|Calhy_1172	0	-	4	1121259.3;1214564.3;351627.8;632292.3	2033	2039	-	-	-	773	-	1254_1172	-	-	-	-	Oligoendopeptidase F	1.0	Counter({'Oligoendopeptidase F': 4})
TAG0566	fig|1214564.3.peg.204	467	1214564.3	13	fig|1214564.3.peg.204,fig|1387555.3.peg.1446,fig|1387555.3.peg.1463,fig|1387555.3.peg.1473,fig|1387555.3.peg.1501,fig|1387557.3.peg.1647,fig|31899.10.peg.651|SAMN05216182_0508,fig|31899.10.peg.739|SAMN05216182_0582,fig|351627.8.peg.192,fig|608506.3.peg.341|COB47_0308,fig|632335.8.peg.334|Calkr_0287,fig|632348.3.peg.2414|Calkro_2292,fig|632516.3.peg.1393|CallaDRAFT_1333	0	-	9	1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632335.8;632348.3;632516.3	-	204	1446,1463,1473,1501	1647	651_0508,739_0582	192	341_0308	-	334_0287	2414_2292	1393_1333	-	hypothetical protein	1.0	Counter({'hypothetical protein': 13})
TAG0567	fig|1214564.3.peg.2053	40	1214564.3	1	fig|1214564.3.peg.2053	0	-	1	1214564.3	-	2053	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0568	fig|1214564.3.peg.2054	227	1214564.3	1	fig|1214564.3.peg.2054	0	-	1	1214564.3	-	2054	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0569	fig|1214564.3.peg.2055	219	1214564.3	1	fig|1214564.3.peg.2055	0	-	1	1214564.3	-	2055	-	-	-	-	-	-	-	-	-	-		1.0	Counter({'': 1})
TAG0570	fig|1214564.3.peg.2056	154	1214564.3	2	fig|1214564.3.peg.2056,fig|1387555.3.peg.1	0	-	2	1214564.3;1387555.3	-	2056	1	-	-	-	-	-	-	-	-	-	Methyl-accepting chemotaxis protein	0.5	Counter({'Methyl-accepting chemotaxis protein': 1, 'hypothetical protein': 1})
TAG0571	fig|1214564.3.peg.2061	44	1214564.3	1	fig|1214564.3.peg.2061	0	-	1	1214564.3	-	2061	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0572	fig|1214564.3.peg.2066	211	1214564.3	1	fig|1214564.3.peg.2066	0	-	1	1214564.3	-	2066	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0573	fig|1214564.3.peg.2067	80	1214564.3	1	fig|1214564.3.peg.2067	0	-	1	1214564.3	-	2067	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0574	fig|1214564.3.peg.2068	135	1214564.3	5	fig|1214564.3.peg.2068,fig|1387555.3.peg.1740,fig|632292.3.peg.2226|Calhy_2125,fig|632518.3.peg.2105,fig|632518.3.peg.335	0	-	4	1214564.3;1387555.3;632292.3;632518.3	-	2068	1740	-	-	-	-	2226_2125	-	-	-	2105,335	Mobile element protein	0.4	Counter({'Mobile element protein': 2, 'hypothetical protein': 2, 'Transposase': 1})
TAG0575	fig|1214564.3.peg.2069	66	1214564.3	1	fig|1214564.3.peg.2069	0	-	1	1214564.3	-	2069	-	-	-	-	-	-	-	-	-	-	Phosphatidylethanolamine N-methyltransferase (EC 2.1.1.17)	1.0	Counter({'Phosphatidylethanolamine N-methyltransferase (EC 2.1.1.17)': 1})
TAG0576	fig|1214564.3.peg.2070	143	1214564.3	1	fig|1214564.3.peg.2070	0	-	1	1214564.3	-	2070	-	-	-	-	-	-	-	-	-	-	Phosphatidylethanolamine N-methyltransferase (EC 2.1.1.17)	1.0	Counter({'Phosphatidylethanolamine N-methyltransferase (EC 2.1.1.17)': 1})
TAG0577	fig|1214564.3.peg.2088	147	1214564.3	1	fig|1214564.3.peg.2088	0	-	1	1214564.3	-	2088	-	-	-	-	-	-	-	-	-	-	CRISPR-associated endoribonuclease Cas6	1.0	Counter({'CRISPR-associated endoribonuclease Cas6': 1})
TAG0578	fig|1214564.3.peg.2090	50	1214564.3	1	fig|1214564.3.peg.2090	0	-	1	1214564.3	-	2090	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0579	fig|1214564.3.peg.212	350	1214564.3	12	fig|1121259.3.peg.235,fig|1214564.3.peg.212,fig|1387555.3.peg.1423,fig|1387557.3.peg.1655,fig|31899.10.peg.1900|SAMN05216182_1685,fig|351627.8.peg.2133|Csac_1953,fig|608506.3.peg.1244|COB47_1147,fig|632292.3.peg.1412|Calhy_1329,fig|632335.8.peg.1515|Calkr_1392,fig|632348.3.peg.1379|Calkro_1303,fig|632516.3.peg.127|CallaDRAFT_0127,fig|632518.3.peg.1270|Calow_1185	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	235	212	1423	1655	1900_1685	2133_1953	1244_1147	1412_1329	1515_1392	1379_1303	127_0127	1270_1185	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	1.0	Counter({'NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)': 12})
TAG0580	fig|1214564.3.peg.2127	228	1214564.3	12	fig|1121259.3.peg.1861,fig|1214564.3.peg.2127,fig|1387555.3.peg.2243,fig|1387557.3.peg.1085,fig|31899.10.peg.1273|SAMN05216182_1086,fig|351627.8.peg.1087|Csac_0962,fig|608506.3.peg.817|COB47_0743,fig|632292.3.peg.1964|Calhy_1873,fig|632335.8.peg.2055|Calkr_1897,fig|632348.3.peg.1937|Calkro_1839,fig|632516.3.peg.618|CallaDRAFT_0595,fig|632518.3.peg.722|Calow_0660	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1861	2127	2243	1085	1273_1086	1087_0962	817_0743	1964_1873	2055_1897	1937_1839	618_0595	722_0660	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
TAG0581	fig|1214564.3.peg.2137	609	1214564.3	1	fig|1214564.3.peg.2137	0	-	1	1214564.3	-	2137	-	-	-	-	-	-	-	-	-	-	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	1.0	Counter({'DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)': 1})
TAG0582	fig|1214564.3.peg.2138	76	1214564.3	1	fig|1214564.3.peg.2138	0	-	1	1214564.3	-	2138	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
