Tag	Gene_cnt_chromosome	Gene_list_chromosome	Genome_cnt	1121259.3	31899.1	1387557.3	632292.3	632335.8	632348.3	632516.3	1387555.3	608506.3	632518.3	351627.8	1214564.3	Classification	Pathway	Name	Type	Functional_role
TAG1852	13	"fig|1121259.3.peg.1399,fig|1214564.3.peg.906,fig|1387555.3.peg.30,fig|1387557.3.peg.2793,fig|31899.10.peg.2933|SAMN05216182_2680,fig|351627.8.peg.630|Csac_0547,fig|351627.8.peg.672|Csac_0581,fig|608506.3.peg.2284|COB47_2127,fig|632292.3.peg.177|Calhy_0160,fig|632335.8.peg.2604|Calkr_2402,fig|632348.3.peg.188|Calkro_0177,fig|632516.3.peg.927|CallaDRAFT_0881,fig|632518.3.peg.2232|Calow_2085"	12	1399	2933	2793	177	2604	188	927	30	2284	2232	"630,672"	906	Amino acids	Glutamine Glutamate biosynthesis	GltBa	enzyme	"Glutamate synthase, alpha subunit domain protein"
TAG5137	12	"fig|1121259.3.peg.863,fig|1214564.3.peg.1424,fig|1387555.3.peg.807,fig|1387557.3.peg.908,fig|31899.10.peg.1084|SAMN05216182_0908,fig|351627.8.peg.1354|Csac_1211,fig|608506.3.peg.661|COB47_0599,fig|632292.3.peg.2107|Calhy_2013,fig|632335.8.peg.672|Calkr_0601,fig|632348.3.peg.2091|Calkro_1983,fig|632516.3.peg.308|CallaDRAFT_0308,fig|632518.3.peg.572|Calow_0519"	12	863	1084	908	2107	672	2091	308	807	661	572	1354	1424	Amino acids	Glutamine Glutamate biosynthesis	GlnA3	enzyme	Glutamine synthetase type I (EC 6.3.1.2)
TAG2261	12	"fig|1121259.3.peg.1945,fig|1214564.3.peg.133,fig|1387555.3.peg.925,fig|1387557.3.peg.2537,fig|31899.10.peg.2681|SAMN05216182_2439,fig|351627.8.peg.1450|Csac_1303,fig|608506.3.peg.2038|COB47_1907,fig|632292.3.peg.684|Calhy_0631,fig|632335.8.peg.514|Calkr_0456,fig|632348.3.peg.540|Calkro_0509,fig|632516.3.peg.2512|CallaDRAFT_2417,fig|632518.3.peg.1934|Calow_1816"	12	1945	2681	2537	684	514	540	2512	925	2038	1934	1450	133	Amino acids	Glycine biosynthesis	GlyA	enzyme	Serine--glyoxylate aminotransferase (EC 2.6.1.45)
TAG4178	12	"fig|1121259.3.peg.1063,fig|1214564.3.peg.554,fig|1387555.3.peg.1319,fig|1387557.3.peg.1297,fig|31899.10.peg.1541|SAMN05216182_1339,fig|351627.8.peg.2239|Csac_2061,fig|608506.3.peg.1574|COB47_1465,fig|632292.3.peg.1769|Calhy_1676,fig|632335.8.peg.1169|Calkr_1049,fig|632348.3.peg.1724|Calkro_1634,fig|632516.3.peg.1190|CallaDRAFT_1135,fig|632518.3.peg.949|Calow_0877"	12	1063	1541	1297	1769	1169	1724	1190	1319	1574	949	2239	554	Amino acids	Glycine biosynthesis	GlyA	enzyme	Serine hydroxymethyltransferase (EC 2.1.2.1)
TAG0579	12	"fig|1121259.3.peg.235,fig|1214564.3.peg.212,fig|1387555.3.peg.1423,fig|1387557.3.peg.1655,fig|31899.10.peg.1900|SAMN05216182_1685,fig|351627.8.peg.2133|Csac_1953,fig|608506.3.peg.1244|COB47_1147,fig|632292.3.peg.1412|Calhy_1329,fig|632335.8.peg.1515|Calkr_1392,fig|632348.3.peg.1379|Calkro_1303,fig|632516.3.peg.127|CallaDRAFT_0127,fig|632518.3.peg.1270|Calow_1185"	12	235	1900	1655	1412	1515	1379	127	1423	1244	1270	2133	212	Central carbohydrate	Glycolysis and Gluconeogenesis 	Gap	enzyme	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
TAG0799	12	"fig|1121259.3.peg.688,fig|1214564.3.peg.754,fig|1387555.3.peg.1078,fig|1387557.3.peg.2103,fig|31899.10.peg.2336|SAMN05216182_2123,fig|351627.8.peg.2551|Csac_2366,fig|608506.3.peg.1753|COB47_1636,fig|632292.3.peg.995|Calhy_0923,fig|632335.8.peg.952|Calkr_0849,fig|632348.3.peg.948|Calkro_0890,fig|632516.3.peg.987|CallaDRAFT_0932,fig|632518.3.peg.1664|Calow_1568"	12	688	2336	2103	995	952	948	987	1078	1753	1664	2551	754	Central carbohydrate	Glycolysis and Gluconeogenesis 	PPi-PFK	enzyme	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)
TAG1038	12	"fig|1121259.3.peg.237,fig|1214564.3.peg.214,fig|1387555.3.peg.1421,fig|1387557.3.peg.1657,fig|31899.10.peg.1902|SAMN05216182_1687,fig|351627.8.peg.2135|Csac_1955,fig|608506.3.peg.1242|COB47_1145,fig|632292.3.peg.1410|Calhy_1327,fig|632335.8.peg.1517|Calkr_1394,fig|632348.3.peg.1377|Calkro_1301,fig|632516.3.peg.125|CallaDRAFT_0125,fig|632518.3.peg.1272|Calow_1187"	12	237	1902	1657	1410	1517	1377	125	1421	1242	1272	2135	214	Central carbohydrate	Glycolysis and Gluconeogenesis 	PpdK	enzyme	"Pyruvate,phosphate dikinase (EC 2.7.9.1)"
TAG1039	12	"fig|1121259.3.peg.233,fig|1214564.3.peg.211,fig|1387555.3.peg.1424,fig|1387557.3.peg.1654,fig|31899.10.peg.1899|SAMN05216182_1684,fig|351627.8.peg.2132|Csac_1952,fig|608506.3.peg.1245|COB47_1148,fig|632292.3.peg.1413|Calhy_1330,fig|632335.8.peg.1513|Calkr_1391,fig|632348.3.peg.1381|Calkro_1304,fig|632516.3.peg.129|CallaDRAFT_0128,fig|632518.3.peg.1269|Calow_1184"	12	233	1899	1654	1413	1513	1381	129	1424	1245	1269	2132	211	Central carbohydrate	Glycolysis and Gluconeogenesis 	"Pgk,Tpi"	enzyme	Phosphoglycerate kinase (EC 2.7.2.3) / Triosephosphate isomerase (EC 5.3.1.1)
TAG1040	13	"fig|1121259.3.peg.231,fig|1214564.3.peg.209,fig|1387555.3.peg.1426,fig|1387555.3.peg.1516,fig|1387557.3.peg.1652,fig|31899.10.peg.1897|SAMN05216182_1682,fig|351627.8.peg.2130|Csac_1950,fig|608506.3.peg.1247|COB47_1150,fig|632292.3.peg.1415|Calhy_1332,fig|632335.8.peg.1511|Calkr_1389,fig|632348.3.peg.1383|Calkro_1306,fig|632516.3.peg.131|CallaDRAFT_0130,fig|632518.3.peg.1267|Calow_1182"	12	231	1897	1652	1415	1511	1383	131	"1426,1516"	1247	1267	2130	209	Central carbohydrate	Glycolysis and Gluconeogenesis 	Eno	enzyme	Enolase (EC 4.2.1.11)
TAG1167	12	"fig|1121259.3.peg.161,fig|1214564.3.peg.2376,fig|1387555.3.peg.1594,fig|1387557.3.peg.1563,fig|31899.10.peg.1810|SAMN05216182_1600,fig|351627.8.peg.2064|Csac_1886,fig|608506.3.peg.1340|COB47_1235,fig|632292.3.peg.1491|Calhy_1404,fig|632335.8.peg.1432|Calkr_1309,fig|632348.3.peg.1460|Calkro_1379,fig|632516.3.peg.187|CallaDRAFT_0188,fig|632518.3.peg.1195|Calow_1113"	12	161	1810	1563	1491	1432	1460	187	1594	1340	1195	2064	2376	Central carbohydrate	Glycolysis and Gluconeogenesis 	Pgm	enzyme	Phosphoglycerate mutase (EC 5.4.2.11)
TAG1219	12	"fig|1121259.3.peg.104,fig|1214564.3.peg.2319,fig|1387555.3.peg.1655,fig|1387557.3.peg.1506,fig|31899.10.peg.1752|SAMN05216182_1542,fig|351627.8.peg.2007|Csac_1830,fig|608506.3.peg.1397|COB47_1292,fig|632292.3.peg.1548|Calhy_1461,fig|632335.8.peg.1368|Calkr_1246,fig|632348.3.peg.1518|Calkro_1436,fig|632516.3.peg.245|CallaDRAFT_0246,fig|632518.3.peg.1137|Calow_1056"	12	104	1752	1506	1548	1368	1518	245	1655	1397	1137	2007	2319	Central carbohydrate	Glycolysis and Gluconeogenesis 	Pfk	enzyme	6-phosphofructokinase (EC 2.7.1.11)
TAG1689	11	"fig|1121259.3.peg.1667,fig|1214564.3.peg.1570,fig|1387555.3.peg.2387,fig|1387557.3.peg.798,fig|31899.10.peg.984|SAMN05216182_0816,fig|351627.8.peg.886|Csac_0778,fig|608506.3.peg.557|COB47_0498,fig|632292.3.peg.2200|Calhy_2100,fig|632335.8.peg.2212|Calkr_2045,fig|632348.3.peg.2197|Calkro_2082,fig|632518.3.peg.454|Calow_0407"	11	1667	984	798	2200	2212	2197	-	2387	557	454	886	1570	Central carbohydrate	Glycolysis and Gluconeogenesis 	GlcK	enzyme	Glucokinase (EC 2.7.1.2)
TAG2157	12	"fig|1121259.3.peg.832,fig|1214564.3.peg.14,fig|1387555.3.peg.783,fig|1387557.3.peg.882,fig|31899.10.peg.1059|SAMN05216182_0884,fig|351627.8.peg.1330|Csac_1187,fig|608506.3.peg.636|COB47_0574,fig|632292.3.peg.2131|Calhy_2037,fig|632335.8.peg.644|Calkr_0573,fig|632348.3.peg.2115|Calkro_2007,fig|632516.3.peg.2379|CallaDRAFT_2288,fig|632518.3.peg.547|Calow_0495"	12	832	1059	882	2131	644	2115	2379	783	636	547	1330	14	Central carbohydrate	Glycolysis and Gluconeogenesis 	Pgi	enzyme	"Glucose-6-phosphate isomerase, archaeal II (EC 5.3.1.9) / Mannose-6-phosphate isomerase, archaeal (EC 5.3.1.8)"
TAG2158	12	"fig|1121259.3.peg.834,fig|1214564.3.peg.12,fig|1387555.3.peg.785,fig|1387557.3.peg.884,fig|31899.10.peg.1061|SAMN05216182_0886,fig|351627.8.peg.1332|Csac_1189,fig|608506.3.peg.638|COB47_0576,fig|632292.3.peg.2129|Calhy_2035,fig|632335.8.peg.646|Calkr_0575,fig|632348.3.peg.2113|Calkro_2005,fig|632516.3.peg.2381|CallaDRAFT_2290,fig|632518.3.peg.549|Calow_0497"	12	834	1061	884	2129	646	2113	2381	785	638	549	1332	12	Central carbohydrate	Glycolysis and Gluconeogenesis 	FBA2	enzyme	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
TAG3089	12	"fig|1121259.3.peg.105,fig|1214564.3.peg.2320,fig|1387555.3.peg.1654,fig|1387557.3.peg.1507,fig|31899.10.peg.1753|SAMN05216182_1543,fig|351627.8.peg.2008|Csac_1831,fig|608506.3.peg.1396|COB47_1291,fig|632292.3.peg.1547|Calhy_1460,fig|632335.8.peg.1369|Calkr_1247,fig|632348.3.peg.1517|Calkro_1435,fig|632516.3.peg.244|CallaDRAFT_0245,fig|632518.3.peg.1138|Calow_1057"	12	105	1753	1507	1547	1369	1517	244	1654	1396	1138	2008	2320	Central carbohydrate	Glycolysis and Gluconeogenesis 	Pyk	enzyme	Pyruvate kinase (EC 2.7.1.40) / Phosphohistidine swiveling domain
TAG6762	12	"fig|1121259.3.peg.232,fig|1214564.3.peg.210,fig|1387555.3.peg.1425,fig|1387557.3.peg.1653,fig|31899.10.peg.1898|SAMN05216182_1683,fig|351627.8.peg.2131|Csac_1951,fig|608506.3.peg.1246|COB47_1149,fig|632292.3.peg.1414|Calhy_1331,fig|632335.8.peg.1512|Calkr_1390,fig|632348.3.peg.1382|Calkro_1305,fig|632516.3.peg.130|CallaDRAFT_0129,fig|632518.3.peg.1268|Calow_1183"	12	232	1898	1653	1414	1512	1382	130	1425	1246	1268	2131	210	Central carbohydrate	Glycolysis and Gluconeogenesis 	BiPgM	enzyme	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)"
TAG0674	12	"fig|1121259.3.peg.307,fig|1214564.3.peg.518,fig|1387555.3.peg.1357,fig|1387557.3.peg.1725,fig|31899.10.peg.1971|SAMN05216182_1757,fig|351627.8.peg.2203|Csac_2025,fig|608506.3.peg.1173|COB47_1076,fig|632292.3.peg.1343|Calhy_1258,fig|632335.8.peg.1587|Calkr_1463,fig|632348.3.peg.1308|Calkro_1232,fig|632516.3.peg.56|CallaDRAFT_0055,fig|632518.3.peg.1344|Calow_1257"	12	307	1971	1725	1343	1587	1308	56	1357	1173	1344	2203	518	Amino acids	Histidine biosynthesis	HisD	enzyme	Histidinol dehydrogenase (EC 1.1.1.23)
TAG0830	12	"fig|1121259.3.peg.628,fig|1214564.3.peg.409,fig|1387555.3.peg.1126,fig|1387557.3.peg.2047,fig|31899.10.peg.2275|SAMN05216182_2063,fig|351627.8.peg.2495|Csac_2311,fig|608506.3.peg.1693|COB47_1577,fig|632292.3.peg.1056|Calhy_0982,fig|632335.8.peg.1012|Calkr_0908,fig|632348.3.peg.1009|Calkro_0950,fig|632516.3.peg.2017|CallaDRAFT_1948,fig|632518.3.peg.1602|Calow_1507"	12	628	2275	2047	1056	1012	1009	2017	1126	1693	1602	2495	409	Amino acids	Histidine biosynthesis	HisR	regulator	His repressor
TAG0888	12	"fig|1121259.3.peg.567,fig|1214564.3.peg.468,fig|1387555.3.peg.1193,fig|1387557.3.peg.1972,fig|31899.10.peg.2220|SAMN05216182_2007,fig|351627.8.peg.2433|Csac_2251,fig|608506.3.peg.953|COB47_0873,fig|632292.3.peg.1117|Calhy_1039,fig|632335.8.peg.1861|Calkr_1725,fig|632348.3.peg.1066|Calkro_1004,fig|632516.3.peg.1650|CallaDRAFT_1583,fig|632518.3.peg.1544|Calow_1453"	12	567	2220	1972	1117	1861	1066	1650	1193	953	1544	2433	468	Amino acids	Histidine biosynthesis	HisJ	enzyme	Histidinol-phosphatase (EC 3.1.3.15)
TAG0993	12	"fig|1121259.3.peg.309,fig|1214564.3.peg.520,fig|1387555.3.peg.1355,fig|1387557.3.peg.1727,fig|31899.10.peg.1973|SAMN05216182_1759,fig|351627.8.peg.2205|Csac_2027,fig|608506.3.peg.1171|COB47_1074,fig|632292.3.peg.1341|Calhy_1256,fig|632335.8.peg.1589|Calkr_1465,fig|632348.3.peg.1306|Calkro_1230,fig|632516.3.peg.54|CallaDRAFT_0053,fig|632518.3.peg.1346|Calow_1259"	12	309	1973	1727	1341	1589	1306	54	1355	1171	1346	2205	520	Amino acids	Histidine biosynthesis	HisZ	enzyme	ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)
TAG0994	12	"fig|1121259.3.peg.308,fig|1214564.3.peg.519,fig|1387555.3.peg.1356,fig|1387557.3.peg.1726,fig|31899.10.peg.1972|SAMN05216182_1758,fig|351627.8.peg.2204|Csac_2026,fig|608506.3.peg.1172|COB47_1075,fig|632292.3.peg.1342|Calhy_1257,fig|632335.8.peg.1588|Calkr_1464,fig|632348.3.peg.1307|Calkro_1231,fig|632516.3.peg.55|CallaDRAFT_0054,fig|632518.3.peg.1345|Calow_1258"	12	308	1972	1726	1342	1588	1307	55	1356	1172	1345	2204	519	Amino acids	Histidine biosynthesis	HisG	enzyme	ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGs
TAG0995	12	"fig|1121259.3.peg.305,fig|1214564.3.peg.516,fig|1387555.3.peg.1359,fig|1387557.3.peg.1723,fig|31899.10.peg.1969|SAMN05216182_1755,fig|351627.8.peg.2201|Csac_2023,fig|608506.3.peg.1175|COB47_1078,fig|632292.3.peg.1345|Calhy_1260,fig|632335.8.peg.1585|Calkr_1461,fig|632348.3.peg.1310|Calkro_1234,fig|632516.3.peg.58|CallaDRAFT_0057,fig|632518.3.peg.1342|Calow_1255"	12	305	1969	1723	1345	1585	1310	58	1359	1175	1342	2201	516	Amino acids	Histidine biosynthesis	HisB	enzyme	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)
TAG0996	12	"fig|1121259.3.peg.304,fig|1214564.3.peg.515,fig|1387555.3.peg.1360,fig|1387557.3.peg.1722,fig|31899.10.peg.1968|SAMN05216182_1754,fig|351627.8.peg.2200|Csac_2022,fig|608506.3.peg.1176|COB47_1079,fig|632292.3.peg.1346|Calhy_1261,fig|632335.8.peg.1584|Calkr_1460,fig|632348.3.peg.1311|Calkro_1235,fig|632516.3.peg.59|CallaDRAFT_0058,fig|632518.3.peg.1341|Calow_1254"	12	304	1968	1722	1346	1584	1311	59	1360	1176	1341	2200	515	Amino acids	Histidine biosynthesis	HisF	enzyme	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)
TAG0997	12	"fig|1121259.3.peg.302,fig|1214564.3.peg.513,fig|1387555.3.peg.1362,fig|1387557.3.peg.1720,fig|31899.10.peg.1966|SAMN05216182_1752,fig|351627.8.peg.2198|Csac_2020,fig|608506.3.peg.1178|COB47_1081,fig|632292.3.peg.1348|Calhy_1263,fig|632335.8.peg.1582|Calkr_1458,fig|632348.3.peg.1313|Calkro_1237,fig|632516.3.peg.61|CallaDRAFT_0060,fig|632518.3.peg.1339|Calow_1252"	12	302	1966	1720	1348	1582	1313	61	1362	1178	1339	2198	513	Amino acids	Histidine biosynthesis	HisH	enzyme	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)
TAG0998	12	"fig|1121259.3.peg.301,fig|1214564.3.peg.512,fig|1387555.3.peg.1363,fig|1387557.3.peg.1719,fig|31899.10.peg.1965|SAMN05216182_1751,fig|351627.8.peg.2197|Csac_2019,fig|608506.3.peg.1179|COB47_1082,fig|632292.3.peg.1349|Calhy_1264,fig|632335.8.peg.1581|Calkr_1457,fig|632348.3.peg.1314|Calkro_1238,fig|632516.3.peg.62|CallaDRAFT_0061,fig|632518.3.peg.1338|Calow_1251"	12	301	1965	1719	1349	1581	1314	62	1363	1179	1338	2197	512	Amino acids	Histidine biosynthesis	"HisE,HisI"	enzyme	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)
TAG3136	12	"fig|1121259.3.peg.306,fig|1214564.3.peg.517,fig|1387555.3.peg.1358,fig|1387557.3.peg.1724,fig|31899.10.peg.1970|SAMN05216182_1756,fig|351627.8.peg.2202|Csac_2024,fig|608506.3.peg.1174|COB47_1077,fig|632292.3.peg.1344|Calhy_1259,fig|632335.8.peg.1586|Calkr_1462,fig|632348.3.peg.1309|Calkro_1233,fig|632516.3.peg.57|CallaDRAFT_0056,fig|632518.3.peg.1343|Calow_1256"	12	306	1970	1724	1344	1586	1309	57	1358	1174	1343	2202	517	Amino acids	Histidine biosynthesis	HisC	enzyme	Histidinol-phosphate aminotransferase (EC 2.6.1.9)
TAG7698	12	"fig|1121259.3.peg.303,fig|1214564.3.peg.514,fig|1387555.3.peg.1361,fig|1387557.3.peg.1721,fig|31899.10.peg.1967|SAMN05216182_1753,fig|351627.8.peg.2199|Csac_2021,fig|608506.3.peg.1177|COB47_1080,fig|632292.3.peg.1347|Calhy_1262,fig|632335.8.peg.1583|Calkr_1459,fig|632348.3.peg.1312|Calkro_1236,fig|632516.3.peg.60|CallaDRAFT_0059,fig|632518.3.peg.1340|Calow_1253"	12	303	1967	1721	1347	1583	1312	60	1361	1177	1340	2199	514	Amino acids	Histidine biosynthesis	HisA	enzyme	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)
TAG2931	8	"fig|1121259.3.peg.913,fig|1387557.3.peg.969,fig|31899.10.peg.1155|SAMN05216182_0967,fig|351627.8.peg.989|Csac_0871,fig|608506.3.peg.720|COB47_0649,fig|632292.3.peg.2059|Calhy_1968,fig|632348.3.peg.2032|Calkro_1929,fig|632518.3.peg.619|Calow_0562"	8	913	1155	969	2059	-	2032	-	-	720	619	989	-	Vitamins&Cofactors	Lipoate biosynthesis	LipA	enzyme	Lipoyl synthase (EC 2.8.1.8)
TAG5286	8	"fig|1121259.3.peg.912,fig|1387557.3.peg.968,fig|31899.10.peg.1154|SAMN05216182_0966,fig|351627.8.peg.988|Csac_0870,fig|608506.3.peg.719|COB47_0648,fig|632292.3.peg.2060|Calhy_1969,fig|632348.3.peg.2033|Calkro_1930,fig|632518.3.peg.618|Calow_0561"	8	912	1154	968	2060	-	2033	-	-	719	618	988	-	Vitamins&Cofactors	Lipoate biosynthesis	LipB	enzyme	Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181)
TAG1364	12	"fig|1121259.3.peg.1135,fig|1214564.3.peg.284,fig|1387555.3.peg.1874,fig|1387557.3.peg.1365,fig|31899.10.peg.1616|SAMN05216182_1412,fig|351627.8.peg.1744|Csac_1582,fig|608506.3.peg.1506|COB47_1399,fig|632292.3.peg.1692|Calhy_1601,fig|632335.8.peg.1235|Calkr_1115,fig|632348.3.peg.1651|Calkro_1564,fig|632516.3.peg.1511|CallaDRAFT_1452,fig|632518.3.peg.1024|Calow_0947"	12	1135	1616	1365	1692	1235	1651	1511	1874	1506	1024	1744	284	Amino acids	Lysine biosynthesis	DapB	enzyme	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
TAG1712	12	"fig|1121259.3.peg.1657,fig|1214564.3.peg.1577,fig|1387555.3.peg.2418,fig|1387557.3.peg.791,fig|31899.10.peg.977|SAMN05216182_0809,fig|351627.8.peg.880|Csac_0772,fig|608506.3.peg.550|COB47_0491,fig|632292.3.peg.2209|Calhy_2108,fig|632335.8.peg.614|Calkr_0553,fig|632348.3.peg.2201|Calkro_2087,fig|632516.3.peg.2356|CallaDRAFT_2265,fig|632518.3.peg.448|Calow_0401"	12	1657	977	791	2209	614	2201	2356	2418	550	448	880	1577	Amino acids	Lysine biosynthesis	DapL	enzyme	"L,L-diaminopimelate aminotransferase (EC 2.6.1.83), methanococcal"
TAG3892	12	"fig|1121259.3.peg.2334,fig|1214564.3.peg.1016,fig|1387555.3.peg.2266,fig|1387557.3.peg.1060,fig|31899.10.peg.1249|SAMN05216182_1061,fig|351627.8.peg.1057|Csac_0935,fig|608506.3.peg.792|COB47_0719,fig|632292.3.peg.1988|Calhy_1897,fig|632335.8.peg.2081|Calkr_1922,fig|632348.3.peg.1961|Calkro_1863,fig|632516.3.peg.594|CallaDRAFT_0571,fig|632518.3.peg.698|Calow_0636"	12	2334	1249	1060	1988	2081	1961	594	2266	792	698	1057	1016	Amino acids	Lysine biosynthesis	LysA	enzyme	Diaminopimelate decarboxylase (EC 4.1.1.20)
TAG5686	12	"fig|1121259.3.peg.1136,fig|1214564.3.peg.283,fig|1387555.3.peg.1873,fig|1387557.3.peg.1366,fig|31899.10.peg.1617|SAMN05216182_1413,fig|351627.8.peg.1745|Csac_1583,fig|608506.3.peg.1505|COB47_1398,fig|632292.3.peg.1691|Calhy_1600,fig|632335.8.peg.1236|Calkr_1116,fig|632348.3.peg.1650|Calkro_1563,fig|632516.3.peg.1510|CallaDRAFT_1451,fig|632518.3.peg.1025|Calow_0948"	12	1136	1617	1366	1691	1236	1650	1510	1873	1505	1025	1745	283	Amino acids	Lysine biosynthesis	DapA	enzyme	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)
TAG5687	12	"fig|1121259.3.peg.1137,fig|1214564.3.peg.282,fig|1387555.3.peg.1872,fig|1387557.3.peg.1367,fig|31899.10.peg.1618|SAMN05216182_1414,fig|351627.8.peg.1746|Csac_1584,fig|608506.3.peg.1504|COB47_1397,fig|632292.3.peg.1690|Calhy_1599,fig|632335.8.peg.1237|Calkr_1117,fig|632348.3.peg.1649|Calkro_1562,fig|632516.3.peg.1509|CallaDRAFT_1450,fig|632518.3.peg.1026|Calow_0949"	12	1137	1618	1367	1690	1237	1649	1509	1872	1504	1026	1746	282	Amino acids	Lysine biosynthesis	Asd	enzyme	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
TAG6705	12	"fig|1121259.3.peg.747,fig|1214564.3.peg.1901,fig|1387555.3.peg.1026,fig|1387557.3.peg.2193,fig|31899.10.peg.2427|SAMN05216182_2211,fig|351627.8.peg.1167|Csac_1034,fig|608506.3.peg.1841|COB47_1719,fig|632292.3.peg.943|Calhy_0873,fig|632335.8.peg.894|Calkr_0789,fig|632348.3.peg.855|Calkro_0804,fig|632516.3.peg.1140|CallaDRAFT_1080,fig|632518.3.peg.1726|Calow_1627"	12	747	2427	2193	943	894	855	1140	1026	1841	1726	1167	1901	Amino acids	Lysine biosynthesis	DapeL	enzyme	"N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)"
TAG7369	12	"fig|1121259.3.peg.1954,fig|1214564.3.peg.119,fig|1387555.3.peg.943,fig|1387557.3.peg.2528,fig|31899.10.peg.2670|SAMN05216182_2428,fig|351627.8.peg.1463|Csac_1315,fig|608506.3.peg.2027|COB47_1896,fig|632292.3.peg.693|Calhy_0640,fig|632335.8.peg.523|Calkr_0465,fig|632348.3.peg.548|Calkro_0517,fig|632516.3.peg.2608|CallaDRAFT_2514,fig|632518.3.peg.1926|Calow_1808"	12	1954	2670	2528	693	523	548	2608	943	2027	1926	1463	119	Amino acids	Lysine biosynthesis	DapF	enzyme	Diaminopimelate epimerase (EC 5.1.1.7)
TAG7712	12	"fig|1121259.3.peg.2391,fig|1214564.3.peg.2097,fig|1387555.3.peg.971,fig|1387557.3.peg.2250,fig|31899.10.peg.2480|SAMN05216182_2263,fig|351627.8.peg.1120|Csac_0991,fig|608506.3.peg.1893|COB47_1771,fig|632292.3.peg.876|Calhy_0814,fig|632335.8.peg.844|Calkr_0742,fig|632348.3.peg.776|Calkro_0731,fig|632516.3.peg.648|CallaDRAFT_0626,fig|632518.3.peg.1784|Calow_1685"	12	2391	2480	2250	876	844	776	648	971	1893	1784	1120	2097	Amino acids	Lysine biosynthesis	LysC	enzyme	Aspartokinase (EC 2.7.2.4)
TAG0662	7	"fig|1121259.3.peg.612,fig|1214564.3.peg.423,fig|1387557.3.peg.2033,fig|31899.10.peg.2263|SAMN05216182_2051,fig|351627.8.peg.2482|Csac_2298,fig|632292.3.peg.1069|Calhy_0993,fig|632335.8.peg.1906|Calkr_1769"	7	612	2263	2033	1069	1906	-	-	-	-	-	2482	423	Amino acids	Lysine uptake	LysP	transporter	"Lysine transporter, MFS family"
TAG1371	12	"fig|1121259.3.peg.1128,fig|1214564.3.peg.291,fig|1387555.3.peg.1881,fig|1387557.3.peg.1358,fig|31899.10.peg.1607|SAMN05216182_1404,fig|351627.8.peg.1737|Csac_1575,fig|608506.3.peg.1515|COB47_1408,fig|632292.3.peg.1700|Calhy_1609,fig|632335.8.peg.1227|Calkr_1106,fig|632348.3.peg.1659|Calkro_1572,fig|632516.3.peg.1518|CallaDRAFT_1459,fig|632518.3.peg.1017|Calow_0940"	12	1128	1607	1358	1700	1227	1659	1518	1881	1515	1017	1737	291	Amino acids	Methionine biosynthesis	MetA	enzyme	Homoserine O-acetyltransferase (EC 2.3.1.31)
TAG1657	12	"fig|1121259.3.peg.897,fig|1214564.3.peg.1093,fig|1387555.3.peg.2331,fig|1387557.3.peg.954,fig|31899.10.peg.1139|SAMN05216182_0952,fig|351627.8.peg.974|Csac_0857,fig|608506.3.peg.702|COB47_0634,fig|632292.3.peg.2074|Calhy_1983,fig|632335.8.peg.1633|Calkr_1508,fig|632348.3.peg.2050|Calkro_1946,fig|632516.3.peg.2698|CallaDRAFT_2610,fig|632518.3.peg.603|Calow_0547"	12	897	1139	954	2074	1633	2050	2698	2331	702	603	974	1093	Amino acids	Methionine biosynthesis	MetK	enzyme	S-adenosylmethionine synthetase (EC 2.5.1.6)
TAG2055	12	"fig|1121259.3.peg.1156,fig|1214564.3.peg.1438,fig|1387555.3.peg.630,fig|1387557.3.peg.2846,fig|31899.10.peg.86|SAMN05216182_0018,fig|351627.8.peg.348|Csac_0302,fig|608506.3.peg.2341|COB47_2174,fig|632292.3.peg.315|Calhy_0286,fig|632335.8.peg.2367|Calkr_2186,fig|632348.3.peg.321|Calkro_0302,fig|632516.3.peg.1349|CallaDRAFT_1289,fig|632518.3.peg.2300|Calow_2143"	12	1156	86	2846	315	2367	321	1349	630	2341	2300	348	1438	Amino acids	Methionine biosynthesis	MetE	enzyme	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)
