TAG	Rep_gene	Rep_len	Rep_genome	Gene_cnt_chromosome	Gene_list_chromosome	Gene_cnt_plasmid	Gene_list_plasmid	Genome_cnt	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3	most_common_function	function_proportion	count_result
TAG2403	fig|1387569.3.peg.1355	109	1387569.3	1	fig|1387569.3.peg.1355	0	-	1	1387569.3	-	-	-	-	1355	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2404	fig|1387569.3.peg.1356	49	1387569.3	1	fig|1387569.3.peg.1356	0	-	1	1387569.3	-	-	-	-	1356	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2405	fig|1387569.3.peg.1358	93	1387569.3	1	fig|1387569.3.peg.1358	0	-	1	1387569.3	-	-	-	-	1358	-	-	-	-	-	-	-	-	Coenzyme A ligase	1.0	Counter({'Coenzyme A ligase': 1})
TAG2406	fig|1387569.3.peg.1359	71	1387569.3	1	fig|1387569.3.peg.1359	0	-	1	1387569.3	-	-	-	-	1359	-	-	-	-	-	-	-	-	Coenzyme A ligase	1.0	Counter({'Coenzyme A ligase': 1})
TAG2407	fig|1387569.3.peg.1360	66	1387569.3	1	fig|1387569.3.peg.1360	0	-	1	1387569.3	-	-	-	-	1360	-	-	-	-	-	-	-	-	Coenzyme A ligase	1.0	Counter({'Coenzyme A ligase': 1})
TAG2408	fig|1387569.3.peg.1362	108	1387569.3	1	fig|1387569.3.peg.1362	0	-	1	1387569.3	-	-	-	-	1362	-	-	-	-	-	-	-	-	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)': 1})
TAG2409	fig|1387569.3.peg.1364	77	1387569.3	1	fig|1387569.3.peg.1364	0	-	1	1387569.3	-	-	-	-	1364	-	-	-	-	-	-	-	-	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)': 1})
TAG2410	fig|1387569.3.peg.1365	67	1387569.3	1	fig|1387569.3.peg.1365	0	-	1	1387569.3	-	-	-	-	1365	-	-	-	-	-	-	-	-	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)': 1})
TAG2411	fig|1387569.3.peg.1366	90	1387569.3	1	fig|1387569.3.peg.1366	0	-	1	1387569.3	-	-	-	-	1366	-	-	-	-	-	-	-	-	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)': 1})
TAG2412	fig|1387569.3.peg.1367	47	1387569.3	1	fig|1387569.3.peg.1367	0	-	1	1387569.3	-	-	-	-	1367	-	-	-	-	-	-	-	-	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)': 1})
TAG2413	fig|1387569.3.peg.1368	62	1387569.3	1	fig|1387569.3.peg.1368	0	-	1	1387569.3	-	-	-	-	1368	-	-	-	-	-	-	-	-	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)': 1})
TAG2414	fig|1387569.3.peg.137	55	1387569.3	1	fig|1387569.3.peg.137	0	-	1	1387569.3	-	-	-	-	137	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2415	fig|1387569.3.peg.1370	183	1387569.3	12	fig|1121259.3.peg.1010,fig|1214564.3.peg.608,fig|1387557.3.peg.1257,fig|1387569.3.peg.1370,fig|31899.10.peg.1486|SAMN05216182_1284,fig|351627.8.peg.2297|Csac_2118,fig|608506.3.peg.1618|COB47_1507,fig|632292.3.peg.1816|Calhy_1724,fig|632335.8.peg.1103|Calkr_0992,fig|632348.3.peg.1766|Calkro_1675,fig|632516.3.peg.1788|CallaDRAFT_1720,fig|632518.3.peg.861|Calow_0791	0	-	12	1121259.3;1214564.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1010	608	-	1257	1370	1486	2297	1618	1816	1103	1766	1788	861	Stage V sporulation protein T, AbrB family transcriptional regulator (SpoVT)	1.0	Counter({'Stage V sporulation protein T, AbrB family transcriptional regulator (SpoVT)': 12})
TAG2416	fig|1387569.3.peg.1374	87	1387569.3	13	fig|1121259.3.peg.1006,fig|1214564.3.peg.612,fig|1387555.3.peg.1273,fig|1387557.3.peg.1254,fig|1387569.3.peg.1374,fig|31899.10.peg.1482|SAMN05216182_1280,fig|351627.8.peg.2301|Csac_2121,fig|608506.3.peg.1622|COB47_1510,fig|632292.3.peg.1820|Calhy_1727,fig|632335.8.peg.1099|Calkr_0989,fig|632348.3.peg.1770|Calkro_1678,fig|632516.3.peg.1794|CallaDRAFT_1724,fig|632518.3.peg.855	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1006	612	1273	1254	1374	1482	2301	1622	1820	1099	1770	1794	855	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	1.0	Counter({'Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)': 13})
TAG2417	fig|1387569.3.peg.1377	69	1387569.3	13	fig|1121259.3.peg.1003,fig|1214564.3.peg.615,fig|1387555.3.peg.1270,fig|1387557.3.peg.1251,fig|1387569.3.peg.1377,fig|31899.10.peg.1479|SAMN05216182_1277,fig|351627.8.peg.2304|Csac_2124,fig|608506.3.peg.1625|COB47_1513,fig|632292.3.peg.1823|Calhy_1730,fig|632335.8.peg.1096|Calkr_0986,fig|632348.3.peg.1773|Calkro_1681,fig|632516.3.peg.1797|CallaDRAFT_1727,fig|632518.3.peg.852|Calow_0784	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1003	615	1270	1251	1377	1479	2304	1625	1823	1096	1773	1797	852	hypothetical protein	1.0	Counter({'hypothetical protein': 13})
TAG2418	fig|1387569.3.peg.1378	179	1387569.3	13	fig|1121259.3.peg.1002,fig|1214564.3.peg.616,fig|1387555.3.peg.1269,fig|1387557.3.peg.1250,fig|1387569.3.peg.1378,fig|31899.10.peg.1478|SAMN05216182_1276,fig|351627.8.peg.2305|Csac_2125,fig|608506.3.peg.1626|COB47_1514,fig|632292.3.peg.1824|Calhy_1731,fig|632335.8.peg.1095|Calkr_0985,fig|632348.3.peg.1774|Calkro_1682,fig|632516.3.peg.1798|CallaDRAFT_1728,fig|632518.3.peg.851|Calow_0783	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1002	616	1269	1250	1378	1478	2305	1626	1824	1095	1774	1798	851	hypothetical protein	1.0	Counter({'hypothetical protein': 13})
TAG2419	fig|1387569.3.peg.1379	128	1387569.3	13	fig|1121259.3.peg.1001,fig|1214564.3.peg.617,fig|1387555.3.peg.1268,fig|1387557.3.peg.1249,fig|1387569.3.peg.1379,fig|31899.10.peg.1477|SAMN05216182_1275,fig|351627.8.peg.2306|Csac_2126,fig|608506.3.peg.1627|COB47_1515,fig|632292.3.peg.1825|Calhy_1732,fig|632335.8.peg.1094|Calkr_0984,fig|632348.3.peg.1775|Calkro_1683,fig|632516.3.peg.1799|CallaDRAFT_1729,fig|632518.3.peg.850|Calow_0782	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1001	617	1268	1249	1379	1477	2306	1627	1825	1094	1775	1799	850	Alkaline shock protein	1.0	Counter({'Alkaline shock protein': 13})
TAG2420	fig|1387569.3.peg.138	182	1387569.3	6	fig|1214564.3.peg.1940,fig|1387569.3.peg.138,fig|351627.8.peg.160|Csac_0132,fig|608506.3.peg.250|COB47_0227,fig|632348.3.peg.2470|Calkro_2348,fig|632518.3.peg.185|Calow_0166	0	-	6	1214564.3;1387569.3;351627.8;608506.3;632348.3;632518.3	-	1940	-	-	138	-	160	250	-	-	2470	-	185	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
TAG2421	fig|1387569.3.peg.1384	236	1387569.3	1	fig|1387569.3.peg.1384	0	-	1	1387569.3	-	-	-	-	1384	-	-	-	-	-	-	-	-	Stage III sporulation protein AE	1.0	Counter({'Stage III sporulation protein AE': 1})
TAG2422	fig|1387569.3.peg.1386	128	1387569.3	11	fig|1121259.3.peg.996,fig|1214564.3.peg.622,fig|1387557.3.peg.1244,fig|1387569.3.peg.1386,fig|31899.10.peg.1472|SAMN05216182_1270,fig|351627.8.peg.2311|Csac_2131,fig|608506.3.peg.1633|COB47_1520,fig|632292.3.peg.1830|Calhy_1737,fig|632335.8.peg.1089|Calkr_0979,fig|632348.3.peg.1780|Calkro_1688,fig|632518.3.peg.844|Calow_0777	0	-	11	1121259.3;1214564.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	996	622	-	1244	1386	1472	2311	1633	1830	1089	1780	-	844	Stage III sporulation protein AD	1.0	Counter({'Stage III sporulation protein AD': 11})
TAG2423	fig|1387569.3.peg.1388	166	1387569.3	12	fig|1121259.3.peg.994,fig|1214564.3.peg.624,fig|1387557.3.peg.1242,fig|1387569.3.peg.1388,fig|31899.10.peg.1470|SAMN05216182_1268,fig|351627.8.peg.2313|Csac_2133,fig|608506.3.peg.1635|COB47_1522,fig|632292.3.peg.1832|Calhy_1739,fig|632335.8.peg.1087|Calkr_0977,fig|632348.3.peg.1782|Calkro_1690,fig|632516.3.peg.1802|CallaDRAFT_1732,fig|632518.3.peg.842|Calow_0775	0	-	12	1121259.3;1214564.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	994	624	-	1242	1388	1470	2313	1635	1832	1087	1782	1802	842	Stage III sporulation protein AB	1.0	Counter({'Stage III sporulation protein AB': 12})
TAG2424	fig|1387569.3.peg.1389	140	1387569.3	1	fig|1387569.3.peg.1389	0	-	1	1387569.3	-	-	-	-	1389	-	-	-	-	-	-	-	-	Stage III sporulation protein AA	1.0	Counter({'Stage III sporulation protein AA': 1})
TAG2425	fig|1387569.3.peg.1390	123	1387569.3	1	fig|1387569.3.peg.1390	0	-	1	1387569.3	-	-	-	-	1390	-	-	-	-	-	-	-	-	Stage III sporulation protein AA	1.0	Counter({'Stage III sporulation protein AA': 1})
TAG2426	fig|1387569.3.peg.1391	259	1387569.3	13	fig|1121259.3.peg.992,fig|1214564.3.peg.626,fig|1387555.3.peg.1265,fig|1387557.3.peg.1240,fig|1387569.3.peg.1391,fig|31899.10.peg.1468|SAMN05216182_1266,fig|351627.8.peg.2315|Csac_2135,fig|608506.3.peg.1637|COB47_1524,fig|632292.3.peg.1834|Calhy_1741,fig|632335.8.peg.1085|Calkr_0975,fig|632348.3.peg.1784|Calkro_1692,fig|632516.3.peg.1804|CallaDRAFT_1734,fig|632518.3.peg.840|Calow_0773	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	992	626	1265	1240	1391	1468	2315	1637	1834	1085	1784	1804	840	2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB	1.0	"Counter({""2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB"": 13})"
TAG2427	fig|1387569.3.peg.1392	521	1387569.3	13	fig|1121259.3.peg.991,fig|1214564.3.peg.627,fig|1387555.3.peg.1264,fig|1387557.3.peg.1239,fig|1387569.3.peg.1392,fig|31899.10.peg.1467|SAMN05216182_1265,fig|351627.8.peg.2316|Csac_2136,fig|608506.3.peg.1638|COB47_1525,fig|632292.3.peg.1835|Calhy_1742,fig|632335.8.peg.1084|Calkr_0974,fig|632348.3.peg.1785|Calkro_1693,fig|632516.3.peg.1805|CallaDRAFT_1735,fig|632518.3.peg.839|Calow_0772	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	991	627	1264	1239	1392	1467	2316	1638	1835	1084	1785	1805	839	Ribonuclease Y	1.0	Counter({'Ribonuclease Y': 13})
TAG2428	fig|1387569.3.peg.1393	200	1387569.3	13	fig|1121259.3.peg.990,fig|1214564.3.peg.628,fig|1387555.3.peg.1263,fig|1387557.3.peg.1238,fig|1387569.3.peg.1393,fig|31899.10.peg.1466|SAMN05216182_1264,fig|351627.8.peg.2317|Csac_2137,fig|608506.3.peg.1639|COB47_1526,fig|632292.3.peg.1836|Calhy_1743,fig|632335.8.peg.1083|Calkr_0973,fig|632348.3.peg.1786|Calkro_1694,fig|632516.3.peg.2285|CallaDRAFT_2202,fig|632518.3.peg.838|Calow_0771	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	990	628	1263	1238	1393	1466	2317	1639	1836	1083	1786	2285	838	Regulatory protein RecX	1.0	Counter({'Regulatory protein RecX': 13})
TAG2429	fig|1387569.3.peg.1394	356	1387569.3	13	fig|1121259.3.peg.989,fig|1214564.3.peg.629,fig|1387555.3.peg.1262,fig|1387557.3.peg.1237,fig|1387569.3.peg.1394,fig|31899.10.peg.1465|SAMN05216182_1263,fig|351627.8.peg.2318|Csac_2138,fig|608506.3.peg.1640|COB47_1527,fig|632292.3.peg.1837|Calhy_1744,fig|632335.8.peg.1082|Calkr_0972,fig|632348.3.peg.1787|Calkro_1695,fig|632516.3.peg.2284|CallaDRAFT_2201,fig|632518.3.peg.837|Calow_0770	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	989	629	1262	1237	1394	1465	2318	1640	1837	1082	1787	2284	837	RecA protein	1.0	Counter({'RecA protein': 13})
TAG2430	fig|1387569.3.peg.1395	411	1387569.3	13	fig|1121259.3.peg.988,fig|1214564.3.peg.630,fig|1387555.3.peg.1261,fig|1387557.3.peg.1236,fig|1387569.3.peg.1395,fig|31899.10.peg.1464|SAMN05216182_1262,fig|351627.8.peg.2319|Csac_2139,fig|608506.3.peg.1641|COB47_1528,fig|632292.3.peg.1838|Calhy_1745,fig|632335.8.peg.1081|Calkr_0971,fig|632348.3.peg.1788|Calkro_1696,fig|632516.3.peg.2283|CallaDRAFT_2200,fig|632518.3.peg.836|Calow_0769	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	988	630	1261	1236	1395	1464	2319	1641	1838	1081	1788	2283	836	ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42)	1.0	Counter({'ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42)': 13})
TAG2431	fig|1387569.3.peg.1396	182	1387569.3	13	fig|1121259.3.peg.987,fig|1214564.3.peg.631,fig|1387555.3.peg.1260,fig|1387557.3.peg.1235,fig|1387569.3.peg.1396,fig|31899.10.peg.1463|SAMN05216182_1261,fig|351627.8.peg.2320|Csac_2140,fig|608506.3.peg.1642|COB47_1529,fig|632292.3.peg.1839|Calhy_1746,fig|632335.8.peg.1080|Calkr_0970,fig|632348.3.peg.1789|Calkro_1697,fig|632516.3.peg.2282|CallaDRAFT_2199,fig|632518.3.peg.835|Calow_0768	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	987	631	1260	1235	1396	1463	2320	1642	1839	1080	1789	2282	835	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	1.0	Counter({'CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)': 13})
TAG2432	fig|1387569.3.peg.140	274	1387569.3	1	fig|1387569.3.peg.140	0	-	1	1387569.3	-	-	-	-	140	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2433	fig|1387569.3.peg.1409	130	1387569.3	13	fig|1121259.3.peg.975,fig|1214564.3.peg.644,fig|1387555.3.peg.1250,fig|1387557.3.peg.1223,fig|1387569.3.peg.1409,fig|31899.10.peg.1451|SAMN05216182_1249,fig|351627.8.peg.2333|Csac_2153,fig|608506.3.peg.1654|COB47_1541,fig|632292.3.peg.1851|Calhy_1758,fig|632335.8.peg.1068|Calkr_0958,fig|632348.3.peg.1802|Calkro_1710,fig|632516.3.peg.2590|CallaDRAFT_2498,fig|632518.3.peg.823|Calow_0756	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	975	644	1250	1223	1409	1451	2333	1654	1851	1068	1802	2590	823	LSU ribosomal protein L19p	1.0	Counter({'LSU ribosomal protein L19p': 13})
TAG2434	fig|1387569.3.peg.1411	169	1387569.3	13	fig|1121259.3.peg.973,fig|1214564.3.peg.646,fig|1387555.3.peg.1248,fig|1387557.3.peg.1221,fig|1387569.3.peg.1411,fig|31899.10.peg.1448|SAMN05216182_1247,fig|351627.8.peg.2335|Csac_2155,fig|608506.3.peg.1656|COB47_1543,fig|632292.3.peg.1853|Calhy_1760,fig|632335.8.peg.1066|Calkr_0956,fig|632348.3.peg.1804|Calkro_1712,fig|632516.3.peg.2593|CallaDRAFT_2500,fig|632518.3.peg.821|Calow_0754	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	973	646	1248	1221	1411	1448	2335	1656	1853	1066	1804	2593	821	16S rRNA processing protein RimM	1.0	Counter({'16S rRNA processing protein RimM': 13})
TAG2435	fig|1387569.3.peg.1412	77	1387569.3	13	fig|1121259.3.peg.972,fig|1214564.3.peg.647,fig|1387555.3.peg.1247,fig|1387557.3.peg.1220,fig|1387569.3.peg.1412,fig|31899.10.peg.1447|SAMN05216182_1246,fig|351627.8.peg.2336|Csac_2156,fig|608506.3.peg.1659|COB47_1546,fig|632292.3.peg.1854|Calhy_1761,fig|632335.8.peg.1065|Calkr_0955,fig|632348.3.peg.1805|Calkro_1713,fig|632516.3.peg.2594|CallaDRAFT_2501,fig|632518.3.peg.820|Calow_0753	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	972	647	1247	1220	1412	1447	2336	1659	1854	1065	1805	2594	820	KH domain RNA binding protein YlqC	1.0	Counter({'KH domain RNA binding protein YlqC': 13})
TAG2436	fig|1387569.3.peg.1413	81	1387569.3	13	fig|1121259.3.peg.971,fig|1214564.3.peg.648,fig|1387555.3.peg.1246,fig|1387557.3.peg.1219,fig|1387569.3.peg.1413,fig|31899.10.peg.1446|SAMN05216182_1245,fig|351627.8.peg.2337|Csac_2157,fig|608506.3.peg.1660|COB47_1547,fig|632292.3.peg.1855|Calhy_1762,fig|632335.8.peg.1064|Calkr_0954,fig|632348.3.peg.1806|Calkro_1714,fig|632516.3.peg.2595|CallaDRAFT_2502,fig|632518.3.peg.819|Calow_0752	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	971	648	1246	1219	1413	1446	2337	1660	1855	1064	1806	2595	819	SSU ribosomal protein S16p	1.0	Counter({'SSU ribosomal protein S16p': 13})
TAG2437	fig|1387569.3.peg.1414	443	1387569.3	13	fig|1121259.3.peg.970,fig|1214564.3.peg.649,fig|1387555.3.peg.1245,fig|1387557.3.peg.1218,fig|1387569.3.peg.1414,fig|31899.10.peg.1445|SAMN05216182_1244,fig|351627.8.peg.2338|Csac_2158,fig|608506.3.peg.1661|COB47_1548,fig|632292.3.peg.1856|Calhy_1763,fig|632335.8.peg.1063|Calkr_0953,fig|632348.3.peg.1807|Calkro_1715,fig|632516.3.peg.2596|CallaDRAFT_2503,fig|632518.3.peg.818|Calow_0751	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	970	649	1245	1218	1414	1445	2338	1661	1856	1063	1807	2596	818	Signal recognition particle protein Ffh	1.0	Counter({'Signal recognition particle protein Ffh': 13})
TAG2438	fig|1387569.3.peg.1415	116	1387569.3	13	fig|1121259.3.peg.969,fig|1214564.3.peg.650,fig|1387555.3.peg.1244,fig|1387557.3.peg.1217,fig|1387569.3.peg.1415,fig|31899.10.peg.1444|SAMN05216182_1243,fig|351627.8.peg.2339|Csac_2159,fig|608506.3.peg.1662|COB47_1549,fig|632292.3.peg.1857|Calhy_1764,fig|632335.8.peg.1062|Calkr_0952,fig|632348.3.peg.1808|Calkro_1716,fig|632516.3.peg.2471|CallaDRAFT_2375,fig|632518.3.peg.817|Calow_0750	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	969	650	1244	1217	1415	1444	2339	1662	1857	1062	1808	2471	817	Signal recognition particle associated protein	1.0	Counter({'Signal recognition particle associated protein': 13})
TAG2439	fig|1387569.3.peg.1418	567	1387569.3	1	fig|1387569.3.peg.1418	0	-	1	1387569.3	-	-	-	-	1418	-	-	-	-	-	-	-	-	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
TAG2440	fig|1387569.3.peg.1419	76	1387569.3	1	fig|1387569.3.peg.1419	0	-	1	1387569.3	-	-	-	-	1419	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2441	fig|1387569.3.peg.1421	371	1387569.3	8	fig|1121259.3.peg.965,fig|1214564.3.peg.657,fig|1387569.3.peg.1421,fig|31899.10.peg.1437|SAMN05216182_1236,fig|351627.8.peg.2347|Csac_2166,fig|632335.8.peg.1058|Calkr_0948,fig|632348.3.peg.1813|Calkro_1721,fig|632516.3.peg.2465|CallaDRAFT_2369	0	-	8	1121259.3;1214564.3;1387569.3;31899.10;351627.8;632335.8;632348.3;632516.3	965	657	-	-	1421	1437	2347	-	-	1058	1813	2465	-	hypothetical protein	1.0	Counter({'hypothetical protein': 8})
TAG2442	fig|1387569.3.peg.1422	65	1387569.3	2	fig|1387569.3.peg.1422,fig|31899.10.peg.1436|SAMN05216182_1235	0	-	2	1387569.3;31899.10	-	-	-	-	1422	1436	-	-	-	-	-	-	-	Mobile element protein	1.0	Counter({'Mobile element protein': 2})
TAG2443	fig|1387569.3.peg.1423	39	1387569.3	1	fig|1387569.3.peg.1423	0	-	1	1387569.3	-	-	-	-	1423	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2444	fig|1387569.3.peg.1424	127	1387569.3	2	fig|1214564.3.peg.660,fig|1387569.3.peg.1424	0	-	2	1214564.3;1387569.3	-	660	-	-	1424	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG2445	fig|1387569.3.peg.1425	36	1387569.3	1	fig|1387569.3.peg.1425	0	-	1	1387569.3	-	-	-	-	1425	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2446	fig|1387569.3.peg.1426	46	1387569.3	3	fig|1387569.3.peg.1426,fig|31899.10.peg.1433,fig|632348.3.peg.1817	0	-	3	1387569.3;31899.10;632348.3	-	-	-	-	1426	1433	-	-	-	-	1817	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
TAG2447	fig|1387569.3.peg.1427	743	1387569.3	3	fig|1387569.3.peg.1427,fig|31899.10.peg.1432|SAMN05216182_1232,fig|632348.3.peg.1818|Calkro_1724	0	-	3	1387569.3;31899.10;632348.3	-	-	-	-	1427	1432	-	-	-	-	1818	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
TAG2448	fig|1387569.3.peg.1428	85	1387569.3	2	fig|1387569.3.peg.1428,fig|31899.10.peg.1431|SAMN05216182_1231	0	-	2	1387569.3;31899.10	-	-	-	-	1428	1431	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
TAG2449	fig|1387569.3.peg.1429	440	1387569.3	3	fig|1214564.3.peg.662,fig|1387569.3.peg.1429,fig|351627.8.peg.2352|Csac_2169	0	-	3	1214564.3;1387569.3;351627.8	-	662	-	-	1429	-	2352	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
TAG2450	fig|1387569.3.peg.1430	122	1387569.3	1	fig|1387569.3.peg.1430	0	-	1	1387569.3	-	-	-	-	1430	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2451	fig|1387569.3.peg.1431	139	1387569.3	1	fig|1387569.3.peg.1431	0	-	1	1387569.3	-	-	-	-	1431	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2452	fig|1387569.3.peg.1432	53	1387569.3	1	fig|1387569.3.peg.1432	0	-	1	1387569.3	-	-	-	-	1432	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG2453	fig|1387569.3.peg.1434	482	1387569.3	12	fig|1121259.3.peg.963,fig|1214564.3.peg.668,fig|1387555.3.peg.1241,fig|1387557.3.peg.1208,fig|1387569.3.peg.1434,fig|31899.10.peg.1411|SAMN05216182_1216,fig|351627.8.peg.2367|Csac_2186,fig|608506.3.peg.1663|COB47_1550,fig|632292.3.peg.1858|Calhy_1765,fig|632335.8.peg.1056|Calkr_0946,fig|632348.3.peg.1826|Calkro_1732,fig|632518.3.peg.816|Calow_0749	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	963	668	1241	1208	1434	1411	2367	1663	1858	1056	1826	-	816	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	1.0	Counter({'Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)': 12})
TAG2454	fig|1387569.3.peg.1435	140	1387569.3	2	fig|1387557.3.peg.1765,fig|1387569.3.peg.1435	0	-	2	1387557.3;1387569.3	-	-	-	1765	1435	-	-	-	-	-	-	-	-	Domain of unknown function / Efflux ABC transporter, permease protein	1.0	Counter({'Domain of unknown function / Efflux ABC transporter, permease protein': 2})
TAG2455	fig|1387569.3.peg.1442	609	1387569.3	6	fig|1387555.3.peg.995,fig|1387569.3.peg.1442,fig|632335.8.peg.1668|Calkr_1541,fig|632348.3.peg.831|Calkro_0781,fig|632516.3.peg.1134|CallaDRAFT_1074,fig|632518.3.peg.1749|Calow_1650	0	-	6	1387555.3;1387569.3;632335.8;632348.3;632516.3;632518.3	-	-	995	-	1442	-	-	-	-	1668	831	1134	1749	DNA primase-like protein	0.833333333333	Counter({'DNA primase-like protein': 5, 'DNA primase DnaG': 1})
