patric_id	KO	COG	COG_function
fig|31899.10.peg.1054	K10118	P	binding-protein-dependent transport systems inner membrane Component
fig|31899.10.peg.1055	K10119	P	binding-protein-dependent transport systems inner membrane component
fig|31899.10.peg.1056	K00845	K	ROK family
fig|31899.10.peg.1057	K01181	G	"endo-1,4-beta-xylanase (EC 3.2.1.8)"
fig|31899.10.peg.1059	K15916	G	Bifunctional phosphoglucose phosphomannose isomerase
fig|31899.10.peg.1060	"K02347,K04477"	E	Phosphatase
fig|31899.10.peg.1061	K01624	G	"Fructose-1,6-bisphosphate aldolase, class II"
fig|31899.10.peg.1062		S	RSAM-modified six-cysteine peptide
fig|31899.10.peg.1064	K06871	S	Radical SAM superfamily
fig|31899.10.peg.1065		L	Transferase
fig|31899.10.peg.1066	"K03072,K12257"	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
fig|31899.10.peg.1067	K03074	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
fig|31899.10.peg.1068	K12574	O	Metallo-Beta-Lactamase
fig|31899.10.peg.1069		S	"sporulation protein, YlmC YmxH family"
fig|31899.10.peg.1070		S	Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase
fig|31899.10.peg.1071	K00790	M	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
fig|31899.10.peg.1072	"K00784,K04771"	S	domain protein
fig|31899.10.peg.1073	K01808	G	isomerase
fig|31899.10.peg.1074	K00761	F	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)
fig|31899.10.peg.1075	K01493	F	deaminase
fig|31899.10.peg.1076	"K04042,K11528"	M	"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain (By similarity)"
fig|31899.10.peg.1077	K00948	F	Phosphoribosyl pyrophosphate synthase
fig|31899.10.peg.1078	K01056	J	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)
fig|31899.10.peg.1079	K03723	L	transcriptioN-repair coupling factor
fig|31899.10.peg.1080	"K01802,K03769,K07533"	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)
fig|31899.10.peg.1081	K04075	D	"Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)"
fig|31899.10.peg.1082	K00760	F	hypoxanthine phosphoribosyltransferase
fig|31899.10.peg.1083	K03798	O	"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)"
fig|31899.10.peg.1084	K01915	E	glutamine synthetase
fig|31899.10.peg.1085	"K00266,K17722"	E	glutamate synthase
fig|31899.10.peg.1086	K00528	C	oxidoreductase FAD NAD(P)-binding domain protein
fig|31899.10.peg.1088	K06283	K	Sporulation transcriptional regulator spoiiid
fig|31899.10.peg.1089	"K02428,K02499,K04765"	F	mazG family
fig|31899.10.peg.1090	K03530	L	DNA-binding protein
fig|31899.10.peg.1091		J	s4 domain protein
fig|31899.10.peg.1092		S	sporulation protein yabp
fig|31899.10.peg.1094	"K05589,K13052"	S	septum formation initiator
fig|31899.10.peg.1095	"K07570,K07571"	J	RNA binding s1 domain protein
fig|31899.10.peg.1096	K01926	K	Modulates transcription in response to changes in cellular NADH NAD( ) redox state (By similarity)
fig|31899.10.peg.1097	K01733	E	Threonine synthase
fig|31899.10.peg.1099	K06213	P	MgtE intracellular region
fig|31899.10.peg.1100		P	Natural resistance-associated macrophage protein
fig|31899.10.peg.1101	"K03624,K04760"	K	"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity)"
fig|31899.10.peg.1102	"K01874,K04567"	J	lysyL-tRNA synthetase
fig|31899.10.peg.1103		I	CoA enzyme activase uncharacterised domain (DUF2229)
fig|31899.10.peg.1104		I	Inherit from COG: coA-substrate-specific enzyme activase
fig|31899.10.peg.1105		I	coA-substrate-specific enzyme activase
fig|31899.10.peg.1107		S	Peptidase m42 family protein
fig|31899.10.peg.1109	K00826	E	brancheD-chain amino acid aminotransferase
fig|31899.10.peg.1110	K01687	"E, G"	Dihydroxy-acid dehydratase
fig|31899.10.peg.1111	K01652	E	Acetolactate synthase
fig|31899.10.peg.1112		L	transposase IS116 IS110 IS902 family protein
fig|31899.10.peg.1113		L	transposase IS116 IS110 IS902 family protein
fig|31899.10.peg.1115		S	NA
fig|31899.10.peg.1116	K18785	G	glycosidase
fig|31899.10.peg.1117		G	glycosidase
fig|31899.10.peg.1118		L	Transposase
fig|31899.10.peg.1123		L	Inherit from COG: transposase
fig|31899.10.peg.1125		S	NA
fig|31899.10.peg.1126	K01992	S	NA
fig|31899.10.peg.1127		S	NA
fig|31899.10.peg.1128	K01990	V	ABC transporter
fig|31899.10.peg.1129		S	NA
fig|31899.10.peg.1130	K18785	G	glycosidase
fig|31899.10.peg.1131		S	Uncharacterised protein family UPF0047
fig|31899.10.peg.1132	K07450	L	domain protein
fig|31899.10.peg.1133	K07450	L	domain protein
fig|31899.10.peg.1134		L	transposase
fig|31899.10.peg.1135		L	transposase
fig|31899.10.peg.1136		S	Uncharacterized protein conserved in bacteria (DUF2191)
fig|31899.10.peg.1137	K07062	S	Toxic component of a toxin-antitoxin (TA) module. A
fig|31899.10.peg.1139	"K00789,K01992"	H	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
fig|31899.10.peg.1141		S	NA
fig|31899.10.peg.1142	K07462	L	Single-stranded-DNA-specific exonuclease (RecJ)
fig|31899.10.peg.1144	K04088	O	"SPFH domain, Band 7 family protein"
fig|31899.10.peg.1145		S	UPF0342 protein
fig|31899.10.peg.1146	K09118	S	UPF0182 protein
fig|31899.10.peg.1147	K03294	E	amino acid
fig|31899.10.peg.1149	K01628	G	Class II aldolase adducin family protein
fig|31899.10.peg.1150	"K00001,K01629"	S	Short chain dehydrogenase
fig|31899.10.peg.1151		S	NA
fig|31899.10.peg.1152	"K00059,K00068,K03366,K19548"	S	Short-chain dehydrogenase reductase SDR
fig|31899.10.peg.1153	"K00004,K19956"	E	Alcohol dehydrogenase zinc-binding domain protein
fig|31899.10.peg.1154	K03801	H	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity)
fig|31899.10.peg.1155	K03644	H	"Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)"
fig|31899.10.peg.1156	"K00627,K00658"	C	of components of various dehydrogenase complexes
fig|31899.10.peg.1157	K00382	C	Dihydrolipoyl dehydrogenase
fig|31899.10.peg.1158	"K00162,K00167,K11381"	C	pyruvate dehydrogenase e1 component suBunit beta
fig|31899.10.peg.1159		K	"Transcriptional Regulator, DeoR family"
fig|31899.10.peg.1160	"K00848,K01813"	G	l-rhamnose isomerase
fig|31899.10.peg.1161		G	L-fucose isomerase
fig|31899.10.peg.1162	"K01802,K03545"	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation
fig|31899.10.peg.1163	K01358	O	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)
fig|31899.10.peg.1164	K03544	O	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity)
fig|31899.10.peg.1165	K01129	F	deoxyguanosinetriphosphate triphosphohydrolase-like protein
fig|31899.10.peg.1166	"K02316,K09117"	L	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments on both template strands at replication forks during chromosomal DNA synthesis (By similarity)
fig|31899.10.peg.1167	"K02316,K03086,K03087"	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
fig|31899.10.peg.1169		S	Membrane-associated protein
fig|31899.10.peg.1171		S	Copper amine oxidase domain protein
fig|31899.10.peg.1172		S	KWG leptospira repeat protein
fig|31899.10.peg.1175		S	NA
fig|31899.10.peg.1176		S	KWG leptospira repeat protein
fig|31899.10.peg.1177		S	NA
fig|31899.10.peg.1178		E	regulatory protein FlaEY
fig|31899.10.peg.1181		M	ErfK YbiS YcfS YnhG
fig|31899.10.peg.1182		S	"Integrase, catalytic region"
fig|31899.10.peg.1184		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.1186		S	NA
fig|31899.10.peg.1187	K06207	T	gtp-binding protein typa
fig|31899.10.peg.1188	K07082	F	aminodeoxychorismate lyase
fig|31899.10.peg.1189	K00588	S	O-methyltransferase
fig|31899.10.peg.1190	K08303	O	Peptidase U32
fig|31899.10.peg.1191	K03091	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
fig|31899.10.peg.1196		S	NA
fig|31899.10.peg.1198		K	rNA polymerase sigma
fig|31899.10.peg.1201		L	Bifunctional DNA primase polymerase
fig|31899.10.peg.1202	K06919	S	NA
fig|31899.10.peg.1203	K14059	L	Integrase
fig|31899.10.peg.1204	"K07586,K09145"	S	Protein of unknown function (DUF402)
fig|31899.10.peg.1205	"K00548,K15023"	E	methyltetrahydrofolate corrinoid iron-sulfur protein methyltransferase
fig|31899.10.peg.1206		C	oxidoreductase
fig|31899.10.peg.1207	"K00058,K03977"	F	GTPase that plays an essential role in the late steps of ribosome biogenesis (By similarity)
fig|31899.10.peg.1208	K08591	S	"Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP (By similarity)"
fig|31899.10.peg.1209		Q	Methyltransferase Type
fig|31899.10.peg.1210	K03704	K	cold-shock DNA-binding domain protein
fig|31899.10.peg.1211	K04083	O	Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress (By similarity)
fig|31899.10.peg.1212	K15987	C	pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for
fig|31899.10.peg.1216	K01990	V	abc transporter atp-binding protein
fig|31899.10.peg.1218	K02435	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)
fig|31899.10.peg.1219	K02433	J	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)
fig|31899.10.peg.1220	K02434	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)
fig|31899.10.peg.1221		S	DNA polymerase beta domain protein region
fig|31899.10.peg.1222		S	"nucleotidyltransferase substrate binding protein, HI0074 family"
fig|31899.10.peg.1224		O	"peptidase, M16"
fig|31899.10.peg.1225		O	"peptidase, M16"
fig|31899.10.peg.1226	K13292	M	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)
fig|31899.10.peg.1228	K03925	S	Cell division protein mraZ
fig|31899.10.peg.1229	K03438	M	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)
fig|31899.10.peg.1230		D	"cell division protein, FtsL"
fig|31899.10.peg.1231	"K03587,K08384,K08724,K12552,K12556"	M	Stage V sporulation protein D
fig|31899.10.peg.1232	"K01928,K15792"	M	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)
fig|31899.10.peg.1233	K01929	M	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide the precursor of murein (By similarity)
fig|31899.10.peg.1234	K01000	M	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan (By similarity)
fig|31899.10.peg.1235	K01925	M	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA) (By similarity)
fig|31899.10.peg.1236	K03588	D	Cell division protein FtsW
fig|31899.10.peg.1237	K02563	M	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II) (By similarity)
fig|31899.10.peg.1238	K00790	M	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
fig|31899.10.peg.1239	K03589	M	"domain protein, FtsQ-type"
fig|31899.10.peg.1240		S	division initiation protein
fig|31899.10.peg.1241		S	small basic protein
fig|31899.10.peg.1242	K03531	D	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)
fig|31899.10.peg.1243	K06383	S	sigma-e processing peptidase spoiiga
fig|31899.10.peg.1244	K07450	L	domain protein
fig|31899.10.peg.1245		L	transposase
fig|31899.10.peg.1246	K03091	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
fig|31899.10.peg.1247	"K03090,K03091"	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
fig|31899.10.peg.1248	"K00666,K01897"	Q	AMP-binding enzyme
fig|31899.10.peg.1249	K01586	E	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity)
fig|31899.10.peg.1250		S	Peptidase M50
fig|31899.10.peg.1251	K01867	J	Tryptophanyl-tRNA synthetase
fig|31899.10.peg.1252	K05896	S	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves (By similarity)
fig|31899.10.peg.1253	K06024	K	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves (By similarity)
fig|31899.10.peg.1255		S	sporulation protein ytfj
fig|31899.10.peg.1257		T	Metal dependent phosphohydrolase
fig|31899.10.peg.1258	K03655	K	Transcriptional regulator
fig|31899.10.peg.1259		S	Tetratricopeptide tpr_2 repeat protein
fig|31899.10.peg.1260	K01868	J	threonyL-tRNA synthetase
fig|31899.10.peg.1261	K00096	C	Dehydrogenase
fig|31899.10.peg.1262	K03412	T	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)
fig|31899.10.peg.1263	"K03043,K13797"	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
fig|31899.10.peg.1264	"K03046,K13797"	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
fig|31899.10.peg.1265	K07590	J	ribosomal protein
fig|31899.10.peg.1266	K02950	J	"Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)"
fig|31899.10.peg.1267	K02992	J	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)"
fig|31899.10.peg.1268	K02355	J	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)"
fig|31899.10.peg.1269	K02358	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)
fig|31899.10.peg.1270	K03665	S	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)
fig|31899.10.peg.1271	"K01518,K03574,K18445"	L	nudix hydrolase
fig|31899.10.peg.1272	"K00560,K01271"	S	"protein family UPF0029, Impact, N-terminal protein"
fig|31899.10.peg.1274	K06409	M	Stage V sporulation protein B
fig|31899.10.peg.1275		K	transcriptional regulatory protein
fig|31899.10.peg.1276		S	NA
fig|31899.10.peg.1277		S	NA
fig|31899.10.peg.1278		Q	Domain of unknown function (DUF2437)
fig|31899.10.peg.1279		C	"4fe-4S ferredoxin, iron-sulfur binding domain protein"
fig|31899.10.peg.1280	"K03738,K11389"	C	aldehyde ferredoxin oxidoreductase
fig|31899.10.peg.1281	K03154	S	ThiamineS Protein
fig|31899.10.peg.1282		H	uba thif-type nad fad binding protein
fig|31899.10.peg.1284	K05772	P	ABC transporter
fig|31899.10.peg.1285	K05773	P	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.1286	K06857	V	ABC transporter
fig|31899.10.peg.1287	"K03750,K07219"	H	Molybdenum cofactor synthesis domain protein
fig|31899.10.peg.1288	"K03750,K07219"	H	molybdenum cofactor synthesis domain-containing protein
fig|31899.10.peg.1289	K03639	H	"Catalyzes, together with MoaC, the conversion of 5'-GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)"
fig|31899.10.peg.1290	K03637	H	"Together with MoaA, is involved in the conversion of 5'- GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)"
fig|31899.10.peg.1291	"K01724,K03635,K03638"	H	Molybdenum cofactor synthesis domain protein
fig|31899.10.peg.1293	K00575	T	methyltransferase
fig|31899.10.peg.1294		S	NA
fig|31899.10.peg.1295	K02851	M	"Glycosyl transferase, family 4"
fig|31899.10.peg.1296	K06298	S	"Lipoprotein LpqB, GerMN domain protein"
fig|31899.10.peg.1297	"K00989,K02428"	J	Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates (By similarity)
fig|31899.10.peg.1298	"K02428,K03742"	F	"Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)"
fig|31899.10.peg.1299	K07095	S	"Phosphodiesterase, mj0936 family"
fig|31899.10.peg.1300		J	gCN5-related N-acetyltransferase
fig|31899.10.peg.1301	"K00848,K00879"	G	Rhamnulokinase
fig|31899.10.peg.1302		K	"transcriptional regulator, deor family"
fig|31899.10.peg.1303	"K00210,K00220,K00800"	E	5-enolpyruvylshikimate-3-phosphate synthase
fig|31899.10.peg.1304	"K00210,K00220,K00800,K04517,K15226"	E	Prephenate dehydrogenase
fig|31899.10.peg.1305	K03856	E	phospho-2-dehydro-3-deoxyheptonate aldolase
fig|31899.10.peg.1306	K00817	E	Imidazole acetol-phosphate transaminase
fig|31899.10.peg.1307	K17318	G	extracellular solute-binding protein family 1
fig|31899.10.peg.1308	K01599	H	uroporphyrinogen-III decarboxylase-like protein
fig|31899.10.peg.1309	K17318	G	extracellular solute-binding protein family 1
fig|31899.10.peg.1310	K17319	G	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.1311	K17320	P	Binding-protein-dependent transport systems inner membrane component
fig|31899.10.peg.1312	K07718	T	integral membrane sensor signal transduction histidine kinase
fig|31899.10.peg.1313	K07720	T	"two component transcriptional regulator, arac family"
fig|31899.10.peg.1314	K01235	G	Alpha-glucuronidase (EC 3.2.1.139)
fig|31899.10.peg.1315	"K00040,K00041"	G	Mannitol dehydrogenase
fig|31899.10.peg.1316	K01686	G	Catalyzes the dehydration of D-mannonate (By similarity)
fig|31899.10.peg.1317	"K01190,K01195"	G	"hydrolase family 2, sugar binding"
fig|31899.10.peg.1318	K02007	P	cobalamin (vitamin B12) biosynthesis CbiM protein
fig|31899.10.peg.1319	K02009	P	Inherit from COG: Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import (By similarity)
fig|31899.10.peg.1320	K02008	P	"cobalt ABC transporter, inner membrane subunit CbiQ"
fig|31899.10.peg.1321	K02006	P	ABC transporter related
fig|31899.10.peg.1323	K03427	V	"Type I restriction-modification system, M subunit"
fig|31899.10.peg.1324		L	transposase
fig|31899.10.peg.1325	K03427	V	"Type I restriction-modification system, M subunit"
fig|31899.10.peg.1326	K03655	K	transcriptional regulator
fig|31899.10.peg.1327	K01154	V	type I restriction modification DNA specificity domain protein
fig|31899.10.peg.1328	K01154	V	restriction modification system DNA specificity
fig|31899.10.peg.1329	K07075	S	DNA Polymerase Beta Domain Protein Region
fig|31899.10.peg.1330		S	Protein of unknown function DUF86
fig|31899.10.peg.1331	K01153	V	Type I site-specific deoxyribonuclease
fig|31899.10.peg.1332	K01153	V	Type I site-specific deoxyribonuclease
fig|31899.10.peg.1333	K07043	S	metal-dependent hydrolase
fig|31899.10.peg.1335	"K01875,K07284"	J	"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)"
fig|31899.10.peg.1336		S	SNARE-like domain protein
fig|31899.10.peg.1337	"K00172,K00177,K18357"	C	oxidoreductase gamma subunit
fig|31899.10.peg.1338	K00171	C	"oxidoreductase, delta subunit"
fig|31899.10.peg.1339	K00169	C	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)
fig|31899.10.peg.1340	K00170	C	"oxidoreductase, beta subunit"
fig|31899.10.peg.1341	"K01713,K04518,K14170,K14187"	E	Prephenate dehydratase
fig|31899.10.peg.1343		T	domain protein
fig|31899.10.peg.1344	K02939	J	Binds to the 23S rRNA (By similarity)
fig|31899.10.peg.1345	K02314	L	Replicative dna helicase
fig|31899.10.peg.1346	K01251	H	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine (By similarity)
fig|31899.10.peg.1347	K12960	F	"Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine (By similarity)"
fig|31899.10.peg.1348	K03980	T	Integral membrane protein (MviN
fig|31899.10.peg.1349	K01866	J	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)
fig|31899.10.peg.1350		S	NA
fig|31899.10.peg.1351		S	NA
fig|31899.10.peg.1354	K06994	S	MMPL domain protein
fig|31899.10.peg.1355	K07493	L	transposase mutator type
fig|31899.10.peg.1356		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.1359	K06147	V	ABC transporter related
fig|31899.10.peg.1360	"K06147,K06148"	V	ABC transporter
fig|31899.10.peg.1363	K06994	S	MMPL domain protein
fig|31899.10.peg.1366	K01990	V	ABC transporter
fig|31899.10.peg.1368		L	transposase (IS4 family) protein
fig|31899.10.peg.1369		L	transposase (IS4 family) protein
fig|31899.10.peg.1372		L	transposase IS116 IS110 IS902 family protein
fig|31899.10.peg.1373		L	transposase IS116 IS110 IS902 family protein
fig|31899.10.peg.1375	K06994	S	MMPL domain protein
fig|31899.10.peg.1378	K18214	G	Major Facilitator Superfamily
fig|31899.10.peg.1380		S	radical SAM domain protein
fig|31899.10.peg.1381		S	radical SAM domain protein
fig|31899.10.peg.1382	K16214	S	zeta toxin
fig|31899.10.peg.1389		S	NA
fig|31899.10.peg.1390		S	NA
fig|31899.10.peg.1391		S	Inherit from COG: SH3 type 3 domain-containing protein
fig|31899.10.peg.1395	K03642	M	rare lipoprotein A
fig|31899.10.peg.1397	K01118	I	"Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity (By similarity)"
fig|31899.10.peg.1398	"K00001,K00086,K00217,K19954"	C	alcohol dehydrogenase
fig|31899.10.peg.1399		S	NA
fig|31899.10.peg.1400	"K00111,K03153"	C	fad dependent oxidoreductase
fig|31899.10.peg.1401	K00302	C	pyridine nucleotide-disulfide oxidoreductase
fig|31899.10.peg.1402		S	protein with conserved CXXC pairs
fig|31899.10.peg.1403	K02443	K	glycerol-3-phosphate responsive antiterminator
fig|31899.10.peg.1404	K01338	O	"ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner (By similarity)"
fig|31899.10.peg.1405	K03978	S	Necessary for normal cell division and for the maintenance of normal septation (By similarity)
fig|31899.10.peg.1406		J	Purine nucleoside phosphorylase
fig|31899.10.peg.1407		K	"Transcriptional regulator, ARAC family"
fig|31899.10.peg.1408	K00965	G	galactose-1-phosphate uridylyltransferase
fig|31899.10.peg.1409	K00849	G	Catalyzes the transfer of the gamma-phosphate of ATP to D-galactose to form alpha-D-galactose-1-phosphate (Gal-1-P) (By similarity)
fig|31899.10.peg.1410	K01784	M	udp-glucose 4-epimerase
fig|31899.10.peg.1411	"K01885,K09698"	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)
fig|31899.10.peg.1412		S	NA
fig|31899.10.peg.1413		S	NA
fig|31899.10.peg.1414	"K01885,K09698"	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)
fig|31899.10.peg.1418		L	transposase (IS4 family) protein
