Rep_gene	most_common_function	function_proportion	count_result
fig|351627.8.peg.2835|Csac_2625	SAF domain protein	0.5	Counter({'SAF domain protein': 2, 'hypothetical protein': 2})
fig|351627.8.peg.640|Csac_0556	Transposase	1.0	Counter({'Transposase': 1})
fig|31899.10.peg.2290|SAMN05216182_2078	ABC transporter, permease protein 2 (cluster 11, riboflavin/purine nucleoside/unknown)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 11, riboflavin/purine nucleoside/unknown)': 10})
fig|1214564.3.peg.476	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.477	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.474	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.475	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.473	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.1467	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.1798|Calkr_1664	Flagellar biosynthesis protein FliS	1.0	Counter({'Flagellar biosynthesis protein FliS': 12})
fig|632335.8.peg.2671|Calkr_2455	Rhamnogalacturonan endolyase (EC 4.2.2.23)	1.0	Counter({'Rhamnogalacturonan endolyase (EC 4.2.2.23)': 4})
fig|632348.3.peg.398|Calkro_0373	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1730|CallaDRAFT_1663	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1857|Csac_1689	Mobile element protein	0.571428571429	Counter({'Mobile element protein': 4, 'hypothetical protein': 3})
fig|632292.3.peg.858|Calhy_0797	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.38|CallaDRAFT_0038	Valyl-tRNA synthetase (EC 6.1.1.9)	1.0	Counter({'Valyl-tRNA synthetase (EC 6.1.1.9)': 12})
fig|632292.3.peg.185|Calhy_0166	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2660|Calkr_2444	N-acetylmannosaminyltransferase (EC 2.4.1.187)	1.0	Counter({'N-acetylmannosaminyltransferase (EC 2.4.1.187)': 4})
fig|351627.8.peg.452|Csac_0388	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.35|SAMN05216182_2877	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.3127|SAMN05216182_2852	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|31899.10.peg.108|SAMN05216182_0036	Putative hemagglutinin-related protein	1.0	Counter({'Putative hemagglutinin-related protein': 1})
fig|632516.3.peg.2660|CallaDRAFT_2576	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2253|Calkro_2138	Ferredoxin	1.0	Counter({'Ferredoxin': 1})
fig|632516.3.peg.2097|CallaDRAFT_2025	Transposase	1.0	Counter({'Transposase': 1})
fig|31899.10.peg.39|SAMN05216182_2880	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 1})
fig|608506.3.peg.1647|COB47_1534	Dipicolinate synthase subunit B	1.0	Counter({'Dipicolinate synthase subunit B': 11})
fig|632516.3.peg.336|CallaDRAFT_0333	ATP-dependent DNA helicase	1.0	Counter({'ATP-dependent DNA helicase': 1})
fig|632516.3.peg.1980|CallaDRAFT_1911	Glycosyltransferase	1.0	Counter({'Glycosyltransferase': 2})
fig|31899.10.peg.1008|SAMN05216182_0839	Positive regulator of CheA protein activity (CheW)	1.0	Counter({'Positive regulator of CheA protein activity (CheW)': 6})
fig|632348.3.peg.33	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.1669|Calkr_1542	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.32	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.237|Csac_0201	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632516.3.peg.1666|CallaDRAFT_1599	possible sporulation protein SpoIID	0.416666666667	Counter({'possible sporulation protein SpoIID': 5, 'Possible sporulation protein SpoIID precursor': 3, 'hypothetical protein': 2, 'SPOIID HOMOLOG': 2})
fig|1387557.3.peg.2841	Substrate-specific component BioY of biotin ECF transporter	1.0	Counter({'Substrate-specific component BioY of biotin ECF transporter': 12})
fig|1214564.3.peg.800	Mobile element protein	0.5	Counter({'Mobile element protein': 1, 'hypothetical protein': 1})
fig|632348.3.peg.20	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.2844	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632518.3.peg.2169|Calow_2026	Tn7-like transposition protein D	1.0	Counter({'Tn7-like transposition protein D': 1})
fig|632516.3.peg.1537|CallaDRAFT_1478	Arginase (EC 3.5.3.1)	1.0	Counter({'Arginase (EC 3.5.3.1)': 1})
fig|632516.3.peg.2651|CallaDRAFT_2568	Mobile element protein	1.0	Counter({'Mobile element protein': 2})
fig|31899.10.peg.1161|SAMN05216182_0973	predicted xylose isomerase	1.0	Counter({'predicted xylose isomerase': 9})
fig|608506.3.peg.2234|COB47_2085	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1214564.3.peg.818	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.819	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1012|Calow_0936	GTP-binding protein Obg	1.0	Counter({'GTP-binding protein Obg': 12})
fig|608506.3.peg.1463|COB47_1356	Major facilitator:Oxalate:Formate Antiporter	1.0	Counter({'Major facilitator:Oxalate:Formate Antiporter': 9})
fig|632516.3.peg.385|CallaDRAFT_0385	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|351627.8.peg.365	CRISPR-associated endoribonuclease Cas6	1.0	Counter({'CRISPR-associated endoribonuclease Cas6': 2})
fig|31899.10.peg.292|SAMN05216182_0182	CRISPR-associated protein, Csm1 family	1.0	Counter({'CRISPR-associated protein, Csm1 family': 11})
fig|31899.10.peg.596|SAMN05216182_0454	Similar to benzoyl-CoA reductase subunit B	1.0	Counter({'Similar to benzoyl-CoA reductase subunit B': 7})
fig|351627.8.peg.2811|Csac_2601	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.835	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.165|COB47_0145	Glycosyltransferase	1.0	Counter({'Glycosyltransferase': 4})
fig|632516.3.peg.2008|CallaDRAFT_1939	Purine nucleoside phosphorylase (EC 2.4.2.1)	0.666666666667	Counter({'Purine nucleoside phosphorylase (EC 2.4.2.1)': 8, 'Purine nucleoside phosphorylase (EC 2.4.2.1) @ N-Ribosylnicotinamide phosphorylase (EC 2.4.2.1)': 4})
fig|31899.10.peg.698|SAMN05216182_0545	Subtilisin-like serine protease-like protein	1.0	Counter({'Subtilisin-like serine protease-like protein': 1})
fig|632292.3.peg.2601|Calhy_2482	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.563|Calhy_0516	hypothetical protein	0.777777777778	Counter({'hypothetical protein': 7, 'Streptococcal hemagglutinin protein': 2})
fig|632516.3.peg.1135|CallaDRAFT_1075	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2749|CallaDRAFT_2670	Transposase, mutator type	1.0	Counter({'Transposase, mutator type': 2})
fig|351627.8.peg.146|Csac_0123	Nucleotidyltransferase domain protein, SO_3165 group	1.0	Counter({'Nucleotidyltransferase domain protein, SO_3165 group': 35})
fig|608506.3.peg.670|COB47_0607	Spore cortex biosynthesis protein	1.0	Counter({'Spore cortex biosynthesis protein': 2})
fig|351627.8.peg.2330|Csac_2150	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|632516.3.peg.1254|CallaDRAFT_1198	Similar to benzoyl-CoA reductase subunit D, long form	1.0	Counter({'Similar to benzoyl-CoA reductase subunit D, long form': 7})
fig|632516.3.peg.1446|CallaDRAFT_1385	Transcriptional regulator, ArsR family	1.0	Counter({'Transcriptional regulator, ArsR family': 11})
fig|632516.3.peg.410|CallaDRAFT_0404	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|351627.8.peg.1138|Csac_1007	hypothetical protein	1.0	Counter({'hypothetical protein': 9})
fig|632516.3.peg.2120|CallaDRAFT_2045	GTP-binding protein EngA	1.0	Counter({'GTP-binding protein EngA': 12})
fig|31899.10.peg.1425|SAMN05216182_1225	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1851	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632518.3.peg.218	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.521|Calow_0469	Transposase, IS4 family	1.0	Counter({'Transposase, IS4 family': 1})
fig|31899.10.peg.1840|SAMN05216182_1629	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2614|CallaDRAFT_2522	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.844|CallaDRAFT_0807	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.2419|CallaDRAFT_2322	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)	1.0	Counter({'Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)': 11})
fig|632335.8.peg.2814	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632335.8.peg.2815	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.625|Calkr_0558	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632335.8.peg.2811	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632335.8.peg.2812	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.470|Csac_0402	Nitrite reductase probable	1.0	Counter({'Nitrite reductase probable': 6})
fig|632516.3.peg.2761|CallaDRAFT_2681	Transposase	1.0	Counter({'Transposase': 1})
fig|1387557.3.peg.1003	Protein of unknown function UPF0150	1.0	Counter({'Protein of unknown function UPF0150': 1})
fig|1387557.3.peg.1004	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1387557.3.peg.1006	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2139|CallaDRAFT_2062	DNA gyrase subunit A (EC 5.99.1.3)	1.0	Counter({'DNA gyrase subunit A (EC 5.99.1.3)': 1})
fig|632516.3.peg.2085|CallaDRAFT_2014	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|608506.3.peg.987|COB47_0907	Negative regulator of flagellin synthesis FlgM (anti-sigma28)	1.0	Counter({'Negative regulator of flagellin synthesis FlgM (anti-sigma28)': 12})
fig|632518.3.peg.338|Calow_0305	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.791|Calhy_0729	Radical SAM domain protein	1.0	Counter({'Radical SAM domain protein': 1})
fig|632516.3.peg.333|CallaDRAFT_0330	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	1.0	Counter({'Nicotinate phosphoribosyltransferase (EC 6.3.4.21)': 1})
fig|351627.8.peg.2738|Csac_2539	beta-glycosyl hydrolase	1.0	Counter({'beta-glycosyl hydrolase': 7})
fig|608506.3.peg.1115	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1613	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1619	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.47|SAMN05216182_2886	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.714|Calkro_0670	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632516.3.peg.1726|CallaDRAFT_1659	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2459|SAMN05216182_2242	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)	0.666666666667	Counter({'ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)': 8, 'Glutamine ABC transporter, ATP-binding protein GlnQ': 4})
fig|632516.3.peg.541|CallaDRAFT_0518	Mobile element protein	1.0	Counter({'Mobile element protein': 7})
fig|632518.3.peg.189|Calow_0170	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|632516.3.peg.2571|CallaDRAFT_2479	1-phosphofructokinase (EC 2.7.1.56)	1.0	Counter({'1-phosphofructokinase (EC 2.7.1.56)': 12})
fig|1387555.3.peg.1753	DNA ligase (NAD(+)) (EC 6.5.1.2)	1.0	Counter({'DNA ligase (NAD(+)) (EC 6.5.1.2)': 12})
fig|1387555.3.peg.1750	Cysteine synthase (EC 2.5.1.47)	1.0	Counter({'Cysteine synthase (EC 2.5.1.47)': 12})
fig|1387555.3.peg.1751	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.1756	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.1757	Glycosyltransferase	1.0	Counter({'Glycosyltransferase': 12})
fig|1387555.3.peg.1754	GTP cyclohydrolase 1 type 2 homolog YbgI	0.583333333333	Counter({'GTP cyclohydrolase 1 type 2 homolog YbgI': 7, 'GTP cyclohydrolase 1 type 2 homolog YbgI @ Bsu YqfO NIF3/CutA domain': 5})
fig|632518.3.peg.894|Calow_0826	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1758	Glycosyltransferase	1.0	Counter({'Glycosyltransferase': 12})
fig|1387555.3.peg.1759	Metal-sensitive transcriptional repressor	1.0	Counter({'Metal-sensitive transcriptional repressor': 12})
fig|351627.8.peg.700|Csac_0604	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632335.8.peg.808|Calkr_0712	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632335.8.peg.2305|Calkr_2130	Superfamily II DNA and RNA helicase	1.0	Counter({'Superfamily II DNA and RNA helicase': 1})
fig|31899.10.peg.3010|SAMN05216182_2748	RNA polymerase sigma factor RpoD	0.75	Counter({'RNA polymerase sigma factor RpoD': 3, 'hypothetical protein': 1})
fig|632335.8.peg.2751|Calkr_2527	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632292.3.peg.376|Calhy_0344	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.261	LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)	1.0	Counter({'LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)': 12})
fig|632516.3.peg.1960|CallaDRAFT_1889	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent	1.0	Counter({'SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent': 12})
fig|1387555.3.peg.2145	uncharacterized secreted protein	0.5	Counter({'uncharacterized secreted protein': 4, 'hypothetical protein': 4})
fig|31899.10.peg.278	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.516|CallaDRAFT_0495	Stage IV sporulation protein A	1.0	Counter({'Stage IV sporulation protein A': 1})
fig|632516.3.peg.314|CallaDRAFT_0313	DNA-binding protein HBsu	1.0	Counter({'DNA-binding protein HBsu': 12})
fig|632348.3.peg.1823|Calkro_1729	Glutamyl-tRNA synthetase domain protein	1.0	Counter({'Glutamyl-tRNA synthetase domain protein': 4})
fig|1387557.3.peg.108	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.913|Calow_0843	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.1910	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	1.0	Counter({'Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)': 1})
fig|632292.3.peg.398	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.395	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.393	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2065	hypothetical protein	1.0	Counter({'hypothetical protein': 8})
fig|1387555.3.peg.2067	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2066	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2061	hypothetical protein	0.5625	Counter({'hypothetical protein': 9, 'DNA binding domain protein, excisionase family': 7})
fig|1387557.3.peg.101	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2063	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|1387555.3.peg.2062	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|1387555.3.peg.2068	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.624	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.155	transposase, IS30 family	1.0	Counter({'transposase, IS30 family': 1})
fig|632335.8.peg.621	Transposase	0.5	Counter({'Transposase': 1, 'hypothetical protein': 1})
fig|632335.8.peg.159	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1870	Dihydroorotate dehydrogenase (NAD(+)), electron transfer subunit (EC 1.3.1.14)	1.0	Counter({'Dihydroorotate dehydrogenase (NAD(+)), electron transfer subunit (EC 1.3.1.14)': 1})
fig|31899.10.peg.1874	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.1878	Branched-chain amino acid ABC transporter, permease protein LivH (TC 3.A.1.4.1)	1.0	Counter({'Branched-chain amino acid ABC transporter, permease protein LivH (TC 3.A.1.4.1)': 2})
fig|1387555.3.peg.272	Stage II sporulation protein D (SpoIID)	1.0	Counter({'Stage II sporulation protein D (SpoIID)': 12})
fig|1387555.3.peg.271	Alternative dihydrofolate reductase 2 / Dihydropteroate synthase (EC 2.5.1.15)	1.0	Counter({'Alternative dihydrofolate reductase 2 / Dihydropteroate synthase (EC 2.5.1.15)': 12})
fig|1387555.3.peg.270	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2440|CallaDRAFT_2343	Transcriptional regulator, LacI family	1.0	Counter({'Transcriptional regulator, LacI family': 10})
fig|1387555.3.peg.274	Suppressor of sigma54-dependent transcription, PspA-like	1.0	Counter({'Suppressor of sigma54-dependent transcription, PspA-like': 12})
fig|632516.3.peg.999|CallaDRAFT_0942	Ribosome recycling factor	1.0	Counter({'Ribosome recycling factor': 1})
fig|632516.3.peg.2136|CallaDRAFT_2060	Transposase	1.0	Counter({'Transposase': 2})
fig|1387555.3.peg.2471	Acetolactate synthase large subunit (EC 2.2.1.6)	1.0	Counter({'Acetolactate synthase large subunit (EC 2.2.1.6)': 12})
fig|351627.8.peg.1905|Csac_1734	ABC1 family protein	1.0	Counter({'ABC1 family protein': 12})
fig|632516.3.peg.2235|CallaDRAFT_2151	Metal-dependent hydrolase	1.0	Counter({'Metal-dependent hydrolase': 12})
fig|31899.10.peg.2993	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2998	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2794|Csac_2585	SWF/SNF family helicase	1.0	Counter({'SWF/SNF family helicase': 1})
fig|1387557.3.peg.2605	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.2370|SAMN05216182_2154	beta-1,4-glucanase (cellulase) (EC 3.2.1.4) / Cellulose 1,4-beta-cellobiosidase (reducing end) (EC 3.2.1.176)	1.0	Counter({'beta-1,4-glucanase (cellulase) (EC 3.2.1.4) / Cellulose 1,4-beta-cellobiosidase (reducing end) (EC 3.2.1.176)': 4})
fig|632335.8.peg.1038|Calkr_0930	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|1387557.3.peg.933	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.899|Calow_0831	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.442	Protein of unknown function UPF0150	1.0	Counter({'Protein of unknown function UPF0150': 1})
fig|1387555.3.peg.180	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.183	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2053|Csac_1876	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.184	Methlytransferase, UbiE/COQ5 family	0.363636363636	Counter({'Methlytransferase, UbiE/COQ5 family': 4, 'hypothetical protein': 4, 'Methyltransferase type 11': 3})
fig|608506.3.peg.2177	ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	1.0	Counter({'ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)': 4})
fig|608506.3.peg.2176	ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	1.0	Counter({'ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)': 1})
fig|1387555.3.peg.444	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.3003|Csac_2775	Ribonuclease P protein component (EC 3.1.26.5)	1.0	Counter({'Ribonuclease P protein component (EC 3.1.26.5)': 12})
fig|632516.3.peg.2015|CallaDRAFT_1946	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|31899.10.peg.3111	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.3115	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.711|Calhy_0658	SSU ribosomal protein S6p	1.0	Counter({'SSU ribosomal protein S6p': 12})
fig|632348.3.peg.113|Calkro_0109	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)': 6})
fig|31899.10.peg.2430|SAMN05216182_2214	Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)	1.0	Counter({'Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)': 11})
fig|632292.3.peg.890|Calhy_0828	radical activating enzyme	1.0	Counter({'radical activating enzyme': 8})
fig|608506.3.peg.1470	Hydroxylamine reductase (EC 1.7.99.1)	1.0	Counter({'Hydroxylamine reductase (EC 1.7.99.1)': 1})
fig|632516.3.peg.221|CallaDRAFT_0222	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	1.0	Counter({'1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)': 1})
fig|1214564.3.peg.1396	Protein of unknown function DUF86, SO_3166 group	1.0	Counter({'Protein of unknown function DUF86, SO_3166 group': 2})
fig|351627.8.peg.955|Csac_0843	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1214564.3.peg.1391	Zinc ABC transporter, ATP-binding protein ZnuC	1.0	Counter({'Zinc ABC transporter, ATP-binding protein ZnuC': 1})
fig|1214564.3.peg.1390	Two-component response regulator yesN	1.0	Counter({'Two-component response regulator yesN': 1})
fig|31899.10.peg.70|SAMN05216182_0004	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632335.8.peg.403	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|608506.3.peg.1564|COB47_1456	FIG069887: hypothetical protein	1.0	Counter({'FIG069887: hypothetical protein': 11})
fig|351627.8.peg.824|Csac_0718	Small molecule permease	1.0	Counter({'Small molecule permease': 4})
fig|632516.3.peg.2573|CallaDRAFT_2482	Two-component transcriptional response regulator, OmpR family	1.0	Counter({'Two-component transcriptional response regulator, OmpR family': 1})
fig|1387555.3.peg.1646	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.476|CallaDRAFT_0457	N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces	1.0	Counter({'N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces': 2})
fig|632516.3.peg.939	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.2826|Csac_2616	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|31899.10.peg.3113|SAMN05216182_2840	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|632292.3.peg.2586|Calhy_2468	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.1255|CallaDRAFT_1199	Rrf2 family transcriptional regulator	1.0	Counter({'Rrf2 family transcriptional regulator': 7})
fig|632335.8.peg.634|Calkr_0564	Transposase, IS4 family	1.0	Counter({'Transposase, IS4 family': 4})
fig|351627.8.peg.293|Csac_0252	2-iminoacetate synthase (ThiH) (EC 4.1.99.19)	1.0	Counter({'2-iminoacetate synthase (ThiH) (EC 4.1.99.19)': 12})
fig|632292.3.peg.191|Calhy_0172	Two-component system sensor histidine kinase	1.0	Counter({'Two-component system sensor histidine kinase': 1})
fig|632516.3.peg.1441	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632518.3.peg.368	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.624	Response regulator receiver protein	0.666666666667	Counter({'Response regulator receiver protein': 2, 'Two-component response regulator yesN': 1})
fig|31899.10.peg.626	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.1074	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1356|SAMN05216182_1168	protein of unknown function UPF0236	1.0	Counter({'protein of unknown function UPF0236': 1})
fig|351627.8.peg.2894|Csac_2678	ATP-dependent DNA helicase	1.0	Counter({'ATP-dependent DNA helicase': 1})
fig|31899.10.peg.2079|SAMN05216182_1866	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|351627.8.peg.2481|Csac_2297	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.1577|Csac_1419	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2147|SAMN05216182_1927	Gll2564 protein	1.0	Counter({'Gll2564 protein': 12})
fig|632292.3.peg.465|Calhy_0425	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.1108|CallaDRAFT_1049	Uncharacterized protein CPF_2956	1.0	Counter({'Uncharacterized protein CPF_2956': 12})
fig|1121259.3.peg.198	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|632518.3.peg.366	Transposase for IS652	1.0	Counter({'Transposase for IS652': 1})
fig|351627.8.peg.779|Csac_0675	hypothetical protein	1.0	Counter({'hypothetical protein': 11})
fig|1214564.3.peg.92	Transcriptional regulator, GntR family	1.0	Counter({'Transcriptional regulator, GntR family': 5})
fig|1214564.3.peg.94	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.244	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.869	DNA topoisomerase I (EC 5.99.1.2)	1.0	Counter({'DNA topoisomerase I (EC 5.99.1.2)': 11})
